,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.7591373709543003, 0.9077, 0.5048]","[0.55767763060712, 0.6956, 0.4236]","[0.65206115943595, 0.8192, 0.4563]","[0.5427551782048889, 0.7464, 0.3391]","[0.5428810340922948, 0.5912, 0.5084]","[0.5453105196451205, 0.6451, 0.4398]","[0.6162454167181642, 0.6344, 0.579]","[0.5617713589698974, 0.513, 0.5688]","[0.48643428571428565, 0.42, 0.536]","[0.4739161627549451, 0.6363, 0.3021]","[0.5761183748446702, 0.2651, 0.7904]","[0.6346962453085824, 0.7579, 0.4511]"
2,"[0.7800908209602531, 0.8581, 0.6043]","[0.55767763060712, 0.6956, 0.4236]","[0.6937773515587011, 0.6626, 0.6457]","[0.5544359436876698, 0.4529, 0.6037]","[0.5415309304391757, 0.6715, 0.3974]","[0.5453105196451205, 0.6451, 0.4398]","[0.6237614839533638, 0.552, 0.6738]","[0.5773961118053688, 0.5195, 0.5883]","[0.5006342857142857, 0.42, 0.536]","[0.48991749513170024, 0.784, 0.1793]","[0.5788805445999243, 0.4097, 0.7085]","[0.6346962453085824, 0.7579, 0.4511]"
3,"[0.787353096246407, 0.7801, 0.6715]","[0.55767763060712, 0.6956, 0.4236]","[0.6903938624452969, 0.8674, 0.4428]","[0.5600158611681283, 0.5362, 0.5737]","[0.5326463773670366, 0.5985, 0.4475]","[0.5453105196451205, 0.6451, 0.4398]","[0.644412000988753, 0.534, 0.6983]","[0.5835297467453374, 0.5195, 0.5883]","[0.48644000000000004, 0.49, 0.4731]","[0.503318130572922, 0.6022, 0.4307]","[0.5743084445404938, 0.5301, 0.5975]","[0.6407697818198808, 0.535, 0.687]"
4,"[0.7946834022143987, 0.7305, 0.723]","[0.55767763060712, 0.6956, 0.4236]","[0.7050826624885191, 0.8674, 0.4428]","[0.5600158611681283, 0.5362, 0.5737]","[0.5357951674999565, 0.5985, 0.426]","[0.5453105196451205, 0.6451, 0.4398]","[0.6486734231450583, 0.5842, 0.6307]","[0.5829088694496734, 0.539, 0.5847]","[0.5066857142857143, 0.49, 0.5326]","[0.5193386799221072, 0.5795, 0.4543]","[0.5755375763142254, 0.4699, 0.6379]","[0.648583620139224, 0.6624, 0.5513]"
5,"[0.7980084017892071, 0.7446, 0.711]","[0.55767763060712, 0.6956, 0.4236]","[0.7016789129612621, 0.8553, 0.4574]","[0.5635768489145984, 0.5362, 0.5737]","[0.5314574151176767, 0.5839, 0.4618]","[0.5453105196451205, 0.6451, 0.4398]","[0.6494433114983726, 0.5842, 0.6322]","[0.5832647863707546, 0.4156, 0.7174]","[0.50348, 0.5, 0.4891]","[0.5260069693553346, 0.4546, 0.5784]","[0.5755375763142254, 0.4699, 0.6379]","[0.6514568701041845, 0.6879, 0.5538]"
6,"[0.7981869823290304, 0.8085, 0.6583]","[0.55767763060712, 0.6956, 0.4236]","[0.7008009616943109, 0.6747, 0.648]","[0.5635768489145984, 0.5362, 0.5737]","[0.5282345870424892, 0.5985, 0.4356]","[0.5, 0.0001, 1.0]","[0.6494433114983726, 0.5842, 0.6322]","[0.5865708591043548, 0.4156, 0.7235]","[0.5033714285714286, 0.5, 0.4891]","[0.5242197909193399, 0.6022, 0.46]","[0.5755375763142254, 0.4699, 0.6379]","[0.6514568701041845, 0.6879, 0.5538]"
7,"[0.7973195911356022, 0.8085, 0.6523]","[0.55767763060712, 0.6956, 0.4236]","[0.6990383056891242, 0.6747, 0.648]","[0.5635768489145984, 0.5362, 0.5737]","[0.5277860042158076, 0.5985, 0.4356]","[0.5453105196451205, 0.6451, 0.4398]","[0.6494433114983726, 0.5842, 0.6322]","[0.5865708591043548, 0.4156, 0.7235]","[0.4972285714285714, 0.5, 0.4811]","[0.5134903146458952, 0.6022, 0.4318]","[0.5755375763142254, 0.4699, 0.6379]","[0.6514568701041845, 0.6879, 0.5538]"
8,"[0.7973195911356022, 0.8085, 0.6523]","[0.55767763060712, 0.6956, 0.4236]","[0.6990383056891242, 0.6747, 0.648]","[0.5635768489145984, 0.5362, 0.5737]","[0.5277860042158076, 0.5985, 0.4356]","[0.5453105196451205, 0.6451, 0.4398]","[0.6494433114983726, 0.5842, 0.6322]","[0.5865708591043548, 0.4156, 0.7235]","[0.4972285714285714, 0.5, 0.4811]","[0.5134903146458952, 0.6022, 0.4318]","[0.5755375763142254, 0.4699, 0.6379]","[0.6514568701041845, 0.6879, 0.5538]"
9,"[0.7973195911356022, 0.8085, 0.6523]","[0.55767763060712, 0.6956, 0.4236]","[0.6990383056891242, 0.6747, 0.648]","[0.5635768489145984, 0.5362, 0.5737]","[0.5277860042158076, 0.5985, 0.4356]","[0.5453105196451205, 0.6451, 0.4398]","[0.6494433114983726, 0.5842, 0.6322]","[0.5865708591043548, 0.4156, 0.7235]","[0.4972285714285714, 0.5, 0.4811]","[0.5134903146458952, 0.6022, 0.4318]","[0.5755375763142254, 0.4699, 0.6379]","[0.6514568701041845, 0.6879, 0.5538]"
10,"[0.7973195911356022, 0.8085, 0.6523]","[0.55767763060712, 0.6956, 0.4236]","[0.6990383056891242, 0.6747, 0.648]","[0.5635768489145984, 0.5362, 0.5737]","[0.5277860042158076, 0.5985, 0.4356]","[0.5453105196451205, 0.6451, 0.4398]","[0.6494433114983726, 0.5842, 0.6322]","[0.5865708591043548, 0.4156, 0.7235]","[0.4972285714285714, 0.5, 0.4811]","[0.5134903146458952, 0.6022, 0.4318]","[0.5755375763142254, 0.4699, 0.6379]","[0.6514568701041845, 0.6879, 0.5538]"
