,Diag: Oppositional Defiant Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Enuresis,Diag: ADHD-Inattentive Type,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Social Anxiety (Social Phobia)
50,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
49,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
48,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
47,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
46,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
45,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
44,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
43,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
42,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.0001,1.0","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
41,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
40,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
39,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
38,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
37,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
36,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
35,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
34,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
33,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
32,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
31,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
30,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
29,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
28,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
27,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
26,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
25,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
24,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
23,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
22,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
21,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
20,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
19,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
18,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
17,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
16,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
15,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
14,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
13,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
12,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
11,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
10,"0.8085,0.6523","0.6747,0.648","0.6879,0.5538","0.5842,0.6322","0.4156,0.7235","0.4699,0.6379","0.5362,0.5737","0.6956,0.4236","0.6451,0.4398","0.5985,0.4356","0.6022,0.4318","0.5,0.4811"
