Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Oppositional Defiant Disorder,114.01,544.01,290.01,27.01,0.14,0.6749,0.2822,0.9527,0.7178,0.0473,1.0,1.0,0.8085,0.3477,0.1915,0.6523,1.0,1.0,2.3253,0.2936,1,0.4184,0.329,0.4607999999999999,0.2349000000000001,0.41,0.7973195911356022,469.0
Diag: No Diagnosis Given,56.01,578.01,314.01,27.01,0.09,0.6503,0.1514,0.9554,0.8486,0.0446,1.0,1.0,0.6747,0.352,0.3253,0.648,1.0,1.0,1.9168,0.502,1,0.2473,0.1856,0.3227,0.1068,0.38,0.6990383056891242,276.0
Diag: Autism Spectrum Disorder,108.01,453.01,365.01,49.01,0.16,0.5754,0.2283,0.9024,0.7717,0.0976,1.0,1.0,0.6879,0.4462,0.3121,0.5538,1.0,1.0,1.5417,0.5636,1,0.3428,0.1777,0.2416999999999998,0.13070000000000004,0.49,0.6516281749801442,524.0
Diag: ADHD-Combined Type,163.01,440.01,256.01,116.01,0.29,0.6185,0.389,0.7914,0.611,0.2086,1.0,1.0,0.5842,0.3678,0.4158,0.6322,1.0,1.0,1.5884,0.6577,1,0.467,0.1976,0.21640000000000015,0.18040000000000012,0.43,0.6494433114983726,931.0
Diag: Generalized Anxiety Disorder,64.01,594.01,227.01,90.01,0.16,0.6749,0.22,0.8684,0.78,0.1316,1.0,1.0,0.4156,0.2765,0.5844,0.7235,1.0,1.0,1.5031,0.8077,1,0.2877,0.1109,0.1391,0.08840000000000003,0.3,0.5865708591043548,512.0
Diag: Enuresis,39.01,569.01,323.01,44.01,0.09,0.6236,0.1078,0.9282,0.8922,0.0718,1.0,1.0,0.4699,0.3621,0.5301,0.6379,1.0,1.0,1.2977,0.831,1,0.1754,0.0623,0.10780000000000012,0.03600000000000003,0.37,0.5741058404019667,278.0
Diag: ADHD-Inattentive Type,148.01,401.01,298.01,128.01,0.28,0.5631,0.3318,0.758,0.6682,0.242,1.0,1.0,0.5362,0.4263,0.4638,0.5737,1.0,1.0,1.2578,0.8084,1,0.4099,0.0994,0.10990000000000011,0.08979999999999988,0.46,0.5635768489145984,919.0
Diag: Specific Phobia,64.01,374.01,509.01,28.01,0.09,0.4492,0.1117,0.9303,0.8883,0.0697,1.0,1.0,0.6956,0.5764,0.3044,0.4236,1.0,1.0,1.2068,0.7186,1,0.1925,0.0708,0.11919999999999997,0.04200000000000004,0.59,0.55767763060712,306.0
Diag: Specific Learning Disorder with Impairment in Reading,120.01,347.01,442.01,66.01,0.19,0.479,0.2135,0.8402,0.7865,0.1598,1.0,1.0,0.6451,0.5602,0.3549,0.4398,1.0,1.0,1.1516,0.807,1,0.3208,0.0675,0.08489999999999998,0.05369999999999986,0.58,0.5453105196451205,619.0
Diag: Language Disorder,82.01,365.01,473.01,55.01,0.14,0.4585,0.1478,0.869,0.8522,0.131,1.0,1.0,0.5985,0.5644,0.4015,0.4356,1.0,1.0,1.0604,0.9217,1,0.2371,0.0239,0.03410000000000002,0.016799999999999926,0.57,0.5277860042158076,458.0
Diag: Specific Learning Disorder with Impairment in Mathematics,53.01,383.01,504.01,35.01,0.09,0.4472,0.0952,0.9162,0.9048,0.0838,1.0,1.0,0.6022,0.5682,0.3978,0.4318,1.0,1.0,1.0598,0.9213,1,0.1644,0.0197,0.03400000000000003,0.011400000000000077,0.57,0.5134903146458952,294.0
Diag: Social Anxiety (Social Phobia),50.01,421.01,454.01,50.01,0.1,0.4831,0.0992,0.8938,0.9008,0.1062,1.0,1.0,0.5,0.5189,0.5,0.4811,1.0,1.0,0.9636,1.0393,1,0.1656,-0.0114,-0.018899999999999917,-0.007000000000000006,0.52,0.4972285714285714,334.0
