,Amount missing,Persentage missing
"NIH_Scores,NIH7_Comp",3171,97.62931034482759
"NIH_Scores,NIH7_Picture",3152,97.04433497536947
"SRS,SRS_46",2236,68.8423645320197
"CBCL,CBCL_113C",1926,59.29802955665024
"CBCL,CBCL_113B",1734,53.38669950738916
"CBCL,CBCL_113A",1456,44.827586206896555
"SDQ,SDQ_27",327,10.067733990147783
"SDQ,SDQ_28",317,9.759852216748769
"SDQ,SDQ_29_d",304,9.35960591133005
"SDQ,SDQ_29_b",297,9.14408866995074
"SDQ,SDQ_29_c",296,9.113300492610838
"SDQ,SDQ_29_a",294,9.051724137931034
"SDQ,SDQ_30",285,8.774630541871922
"NIH_Scores,NIH7_List",193,5.942118226600985
"CBCL,CBCL_56H",179,5.511083743842365
"NIH_Scores,NIH7_Pattern",123,3.786945812807882
"Barratt,financialsupport",102,3.140394088669951
"NIH_Scores,NIH7_Complete",81,2.4938423645320196
"NIH_Scores,NIH7_Flanker",79,2.432266009852217
"NIH_Scores,NIH7_Card",76,2.3399014778325125
"SCQ,SCQ_06",66,2.0320197044334973
"SCQ,SCQ_07",65,2.001231527093596
"SCQ,SCQ_02",63,1.9396551724137931
"SCQ,SCQ_04",62,1.9088669950738917
"SCQ,SCQ_05",59,1.816502463054187
"SCQ,SCQ_03",59,1.816502463054187
"CBCL,CBCL_41",55,1.6933497536945814
"SympChck,CSC_33P",29,0.8928571428571428
"SympChck,CSC_54P",28,0.8620689655172413
"SympChck,CSC_21P",27,0.83128078817734
"SympChck,CSC_26P",25,0.7697044334975369
"SympChck,CSC_03P",25,0.7697044334975369
"SympChck,CSC_46P",25,0.7697044334975369
"SympChck,CSC_15P",24,0.7389162561576355
"SympChck,CSC_29P",24,0.7389162561576355
"SympChck,CSC_30P",24,0.7389162561576355
"SympChck,CSC_47P",24,0.7389162561576355
"SympChck,CSC_31P",24,0.7389162561576355
"SympChck,CSC_32P",24,0.7389162561576355
"SympChck,CSC_37P",23,0.708128078817734
"SympChck,CSC_11P",23,0.708128078817734
"SympChck,CSC_42P",23,0.708128078817734
"SympChck,CSC_06P",23,0.708128078817734
"SympChck,CSC_55gP",22,0.6773399014778325
"SympChck,CSC_50P",22,0.6773399014778325
"SympChck,CSC_22P",22,0.6773399014778325
"SympChck,CSC_55fP",21,0.646551724137931
"SympChck,CSC_12P",21,0.646551724137931
"SympChck,CSC_55aP",21,0.646551724137931
"SympChck,CSC_45P",21,0.646551724137931
"SympChck,CSC_55dC",20,0.6157635467980296
"SDQ,SDQ_12",20,0.6157635467980296
"SympChck,CSC_55bP",20,0.6157635467980296
"SympChck,CSC_13P",20,0.6157635467980296
"SympChck,CSC_24P",20,0.6157635467980296
"SympChck,CSC_25P",20,0.6157635467980296
"SympChck,CSC_39P",20,0.6157635467980296
"SympChck,CSC_38P",20,0.6157635467980296
"SympChck,CSC_32C",19,0.5849753694581281
"SympChck,CSC_53P",19,0.5849753694581281
"SympChck,CSC_48P",19,0.5849753694581281
"SympChck,CSC_18P",19,0.5849753694581281
"SympChck,CSC_16P",18,0.5541871921182266
"SympChck,CSC_43P",18,0.5541871921182266
"CBCL,CBCL_67",18,0.5541871921182266
"SympChck,CSC_23P",18,0.5541871921182266
"SympChck,CSC_52P",18,0.5541871921182266
"SympChck,CSC_10P",18,0.5541871921182266
"SympChck,CSC_19P",17,0.5233990147783251
"SympChck,CSC_41P",17,0.5233990147783251
"SympChck,CSC_55eP",17,0.5233990147783251
"SympChck,CSC_44P",17,0.5233990147783251
"SympChck,CSC_36P",16,0.49261083743842365
"SympChck,CSC_40P",16,0.49261083743842365
"SympChck,CSC_35P",16,0.49261083743842365
"SympChck,CSC_07P",16,0.49261083743842365
"CBCL,CBCL_55",16,0.49261083743842365
"CBCL,CBCL_30",16,0.49261083743842365
"SympChck,CSC_14P",16,0.49261083743842365
"SympChck,CSC_55iC",16,0.49261083743842365
"SDQ,SDQ_24",16,0.49261083743842365
"SympChck,CSC_20P",16,0.49261083743842365
"SympChck,CSC_55iP",15,0.4618226600985222
"SympChck,CSC_45C",15,0.4618226600985222
"SympChck,CSC_34P",15,0.4618226600985222
"SympChck,CSC_51P",15,0.4618226600985222
"SympChck,CSC_27P",15,0.4618226600985222
"SympChck,CSC_09P",14,0.43103448275862066
"SDQ,SDQ_04",14,0.43103448275862066
"SympChck,CSC_17P",14,0.43103448275862066
"SympChck,CSC_08P",14,0.43103448275862066
"SympChck,CSC_55dP",14,0.43103448275862066
"SympChck,CSC_55hP",14,0.43103448275862066
"SympChck,CSC_04P",14,0.43103448275862066
"SympChck,CSC_05P",14,0.43103448275862066
"SympChck,CSC_55cP",13,0.40024630541871925
"SympChck,CSC_26C",13,0.40024630541871925
"CBCL,CBCL_85",13,0.40024630541871925
"SWAN,SWAN_17",13,0.40024630541871925
"CBCL,CBCL_92",13,0.40024630541871925
"SympChck,CSC_01P",13,0.40024630541871925
"CBCL,CBCL_84",13,0.40024630541871925
"CBCL,CBCL_53",12,0.3694581280788177
"SDQ,SDQ_19",12,0.3694581280788177
"SympChck,CSC_55cC",12,0.3694581280788177
"SDQ,SDQ_23",12,0.3694581280788177
"SympChck,CSC_49P",12,0.3694581280788177
"SDQ,SDQ_14",12,0.3694581280788177
"SympChck,CSC_28P",12,0.3694581280788177
"CBCL,CBCL_56D",12,0.3694581280788177
"SympChck,CSC_02P",12,0.3694581280788177
"CBCL,CBCL_86",12,0.3694581280788177
"SympChck,CSC_08C",12,0.3694581280788177
"SympChck,CSC_28C",12,0.3694581280788177
"SympChck,CSC_15C",12,0.3694581280788177
"CBCL,CBCL_40",11,0.33866995073891626
"SympChck,CSC_11C",11,0.33866995073891626
"CBCL,CBCL_70",11,0.33866995073891626
"SympChck,CSC_55bC",11,0.33866995073891626
"SympChck,CSC_55aC",11,0.33866995073891626
"SDQ,SDQ_22",11,0.33866995073891626
"SympChck,CSC_54C",11,0.33866995073891626
"SympChck,CSC_55hC",11,0.33866995073891626
"CBCL,CBCL_66",10,0.3078817733990148
"CBCL,CBCL_105",10,0.3078817733990148
"SWAN,SWAN_18",10,0.3078817733990148
"CBCL,CBCL_112",10,0.3078817733990148
"CBCL,CBCL_29",10,0.3078817733990148
