,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.010894088196845605,
                                    class_weight='balanced',
                                    l1_ratio=0.3811784875005816,
                                    solver='saga'))])",0.8196073594232901,0.03832708200884131,469,0.7812802774144488
1,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.00993924002394063,
                                    class_weight='balanced',
                                    l1_ratio=0.39295274505838074,
                                    penalty='elasticnet', solver='saga'))])",0.5591165925585496,0.03864413146090665,306,0.520472461097643
2,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.012112552623526202,
                                    class_weight='balanced',
                                    l1_ratio=0.4304107848035178,
                                    solver='saga'))])",0.6580912095096173,0.03908420601879674,276,0.6190070034908206
3,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.07472118912035405,
                                    l1_ratio=0.8051417746720527,
                                    penalty='elasticnet', solver='saga'))])",0.5459299818159673,0.008945983428441844,919,0.5369839983875254
4,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=6.817113262792092e-05,
                                    class_weight='balanced',
                                    l1_ratio=0.9464357817360223,
                                    solver='saga'))])",0.5436917231430345,0.008790244087371819,458,0.5349014790556627
5,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.014992138524179258,
                                    class_weight='balanced',
                                    l1_ratio=0.7768182252595514, penalty='l1',
                                    solver='saga'))])",0.5633315944712918,0.019016672688048228,619,0.5443149217832436
6,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.019603944008107475,
                                    class_weight='balanced',
                                    l1_ratio=0.35827921517568795,
                                    penalty='elasticnet', solver='saga'))])",0.6704260303125125,0.015747134293399537,931,0.6546788960191129
7,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.62441063569098,
                                    l1_ratio=0.6241056316762768, penalty='l1',
                                    solver='saga'))])",0.6320355006814026,0.0017256214091564905,512,0.6303098792722461
8,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.5366834223046445,
                                    l1_ratio=0.9642087927001439,
                                    penalty='elasticnet', solver='saga'))])",0.5580273472063951,0.006161209295974018,334,0.5518661379104212
9,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0003770948569505899,
                                    class_weight='balanced',
                                    l1_ratio=0.6577304695301972,
                                    solver='saga'))])",0.5279428056113381,0.01006234193387247,294,0.5178804636774657
10,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.20844795919022374,
                                    l1_ratio=0.17521941601539226, penalty='l1',
                                    solver='saga'))])",0.5815601974561512,0.01534884359406908,278,0.5662113538620821
11,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.12653585843230714,
                                    class_weight='balanced',
                                    l1_ratio=0.26686773397127017, penalty='l1',
                                    solver='saga'))])",0.5899165388731514,0.011234102797647177,524,0.5786824360755043
