,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.5935762028674932, 0.3617, 0.8201]","[0.5240041360972968, 0.2066, 0.838]","[0.6641093522070344, 0.8192, 0.491]","[0.5316938276212394, 0.7427, 0.309]","[0.5496184868386671, 0.3358, 0.7649]","[0.5379512653828856, 0.8548, 0.2205]","[0.6042696617641, 0.4695, 0.7313]","[0.5357775598335891, 0.2338, 0.838]","[0.5483485714285714, 0.41, 0.6777]","[0.5212924054524957, 0.5, 0.5355]","[0.5529202009833054, 0.2169, 0.8901]","[0.7664219083363182, 0.6879, 0.8178]"
2,"[0.6336122591288671, 0.5815, 0.6619]","[0.5348921660347629, 0.3587, 0.7373]","[0.6863958074450267, 0.7469, 0.5717]","[0.570040534096328, 0.337, 0.7754]","[0.5643476821768897, 0.2774, 0.8138]","[0.5468948035487959, 0.6828, 0.3967]","[0.6277525439789066, 0.5663, 0.6695]","[0.5397005552303968, 0.2338, 0.838]","[0.5453828571428571, 0.34, 0.7417]","[0.5399520856820743, 0.4205, 0.6358]","[0.5696080285266627, 0.3253, 0.8049]","[0.7812981794963637, 0.7579, 0.7066]"
3,"[0.656087895640934, 0.7376, 0.5504]","[0.5301590427889113, 0.3587, 0.7191]","[0.6977754065589713, 0.7469, 0.5975]","[0.588236818643611, 0.3913, 0.7439]","[0.5740205215755274, 0.2847, 0.8162]","[0.5543256061163581, 0.672, 0.4145]","[0.6404209409632102, 0.5735, 0.6566]","[0.5381898856320295, 0.2078, 0.8636]","[0.5534457142857143, 0.28, 0.7954]","[0.5594060674387619, 0.375, 0.7103]","[0.6026662704630179, 0.494, 0.7085]","[0.806713593820566, 0.6688, 0.8313]"
4,"[0.6499821419460177, 0.7446, 0.5348]","[0.5318947264759466, 0.4348, 0.6557]","[0.7019693122264843, 0.7469, 0.6099]","[0.5927567332213721, 0.4312, 0.731]","[0.5659590962144835, 0.8029, 0.2566]","[0.5625570682911537, 0.6344, 0.4626]","[0.6473962839368846, 0.5842, 0.6465]","[0.5481120584652862, 0.7792, 0.2728]","[0.5530057142857143, 0.71, 0.3371]","[0.5627882545864508, 0.4659, 0.6392]","[0.5757671943378897, 0.494, 0.639]","[0.81218366997337, 0.7325, 0.7604]"
5,"[0.6541660288790243, 0.7021, 0.5911]","[0.5364801319611995, 0.3044, 0.7724]","[0.7087025230968718, 0.8674, 0.4585]","[0.5927956086334516, 0.4348, 0.7225]","[0.5804705328989774, 0.2993, 0.8246]","[0.5503597857639314, 0.4946, 0.5589]","[0.6495669056152926, 0.5412, 0.6796]","[0.5727375547716593, 0.4286, 0.6906]","[0.5631428571428572, 0.64, 0.4274]","[0.5633071128420621, 0.4432, 0.664]","[0.5826827489329516, 0.5301, 0.62]","[0.834309252020619, 0.8216, 0.7298]"
6,"[0.6539236695749784, 0.6596, 0.6247]","[0.5335565512826825, 0.4674, 0.5866]","[0.7008820033497218, 0.8674, 0.4552]","[0.5927956086334516, 0.4348, 0.7225]","[0.5459819173213944, 0.708, 0.321]","[0.553702113741363, 0.4677, 0.5855]","[0.6495669056152926, 0.5412, 0.6796]","[0.5724290934400557, 0.4805, 0.609]","[0.5600971428571428, 0.67, 0.4057]","[0.5745490417136414, 0.4546, 0.6618]","[0.5576813982386947, 0.5181, 0.5381]","[0.8388799775746343, 0.7133, 0.8166]"
7,"[0.6594724220623501, 0.6312, 0.6595]","[0.5347136737407061, 0.4674, 0.5764]","[0.705501377708142, 0.8674, 0.4608]","[0.5998968505732828, 0.4529, 0.711]","[0.5442224273992649, 0.3577, 0.722]","[0.5489117843465936, 0.4839, 0.5577]","[0.6579558563012401, 0.5627, 0.6595]","[0.5686010092222028, 0.4546, 0.6541]","[0.5437314285714285, 0.61, 0.4343]","[0.5518153633288921, 0.4318, 0.6561]","[0.5557701658652547, 0.5422, 0.5392]","[0.839989565975737, 0.7325, 0.8032]"
8,"[0.6558923074306512, 0.6596, 0.6235]","[0.5363077945738343, 0.4131, 0.6206]","[0.7039953536117565, 0.8674, 0.4451]","[0.5998968505732828, 0.4529, 0.711]","[0.5531287563367767, 0.3139, 0.7279]","[0.5480770541177753, 0.4839, 0.5589]","[0.6579558563012401, 0.5627, 0.6595]","[0.5711122008320546, 0.4546, 0.6504]","[0.5437314285714285, 0.61, 0.4343]","[0.5544160602644255, 0.3637, 0.7148]","[0.5619495920903345, 0.5181, 0.6076]","[0.8412548860822574, 0.7516, 0.7958]"
9,"[0.6614070445771043, 0.6525, 0.6271]","[0.5371140873504356, 0.4674, 0.5821]","[0.7032997460694796, 0.8674, 0.4798]","[0.5892423959693973, 0.4529, 0.6967]","[0.5432642893228578, 0.3431, 0.7112]","[0.5530718072420513, 0.5054, 0.5589]","[0.6579558563012401, 0.5627, 0.6595]","[0.5857482955534112, 0.4935, 0.6224]","[0.54972, 0.62, 0.4331]","[0.5650174233883366, 0.2614, 0.7756]","[0.5663731157815117, 0.5181, 0.5785]","[0.8440541634871443, 0.7516, 0.8056]"
10,"[0.6650339303025665, 0.6525, 0.6223]","[0.5465187847752229, 0.4131, 0.6682]","[0.706939867091685, 0.8553, 0.4664]","[0.5920958512160228, 0.4529, 0.6967]","[0.5461561242443774, 0.365, 0.7255]","[0.5544141897324775, 0.4839, 0.6008]","[0.6571524945412598, 0.552, 0.6724]","[0.5775384785738014, 0.4805, 0.6236]","[0.5531200000000001, 0.6, 0.4594]","[0.5602003689658707, 0.6818, 0.3923]","[0.5785158571505753, 0.5181, 0.574]","[0.8532189743509881, 0.7834, 0.7946]"
