,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.7494600064629148, 0.6241, 0.783]","[0.6585750160027574, 0.6195, 0.6772]","[0.6704035874439462, 0.3133, 0.852]","[0.6409311438701251, 0.587, 0.6252]","[0.6731529710990714, 0.6058, 0.7172]","[0.5410210283876419, 0.5645, 0.5032]","[0.7840527540889054, 0.595, 0.8405]","[0.7976335479380546, 0.4546, 0.9086]","[0.7547600000000001, 0.7899, 0.6983]","[0.554729937480783, 0.6022, 0.5163]","[0.8164271435517856, 0.6867, 0.9361]","[0.6702381137775839, 0.7388, 0.5526]"
2,"[0.8197909757300543, 0.6879, 0.7878]","[0.6637574474370969, 0.4131, 0.8109]","[0.6966813442109244, 0.6867, 0.6569]","[0.7007474445895793, 0.5652, 0.7296]","[0.6749385920596483, 0.5766, 0.7327]","[0.5498146558185808, 0.4946, 0.5944]","[0.8166944753429737, 0.6917, 0.7759]","[0.8197755350617714, 0.7337, 0.7284]","[0.7948285714285714, 0.8199, 0.648]","[0.5451983191554781, 0.5682, 0.5445]","[0.8317845372521477, 0.7228, 0.9215]","[0.7165527229688693, 0.5541, 0.7689]"
3,"[0.8295873939146555, 0.7376, 0.7746]","[0.6737283962775125, 0.7282, 0.5357]","[0.7250391701334485, 0.4097, 0.815]","[0.7096006717671207, 0.6739, 0.598]","[0.679907844537742, 0.6496, 0.5978]","[0.574096787821797, 0.4839, 0.6223]","[0.8168592674988671, 0.8064, 0.6681]","[0.817078475726466, 0.6623, 0.7856]","[0.7978171428571428, 0.7899, 0.696]","[0.5335784564927744, 0.4773, 0.6077]","[0.8317845372521477, 0.7228, 0.9215]","[0.754714777381527, 0.6751, 0.7188]"
4,"[0.8357441706209501, 0.6596, 0.8034]","[0.6862351666748732, 0.6304, 0.6614]","[0.7431519801177804, 0.6144, 0.7399]","[0.7357404988492878, 0.7174, 0.6381]","[0.6776257338466631, 0.6861, 0.5644]","[0.5955101734876053, 0.4785, 0.6819]","[0.8232449635397356, 0.7742, 0.7356]","[0.8184507331888574, 0.6558, 0.8027]","[0.8107199999999999, 0.8199, 0.6811]","[0.5286396945782514, 0.4773, 0.5141]","[0.8230725592954778, 0.7228, 0.9226]","[0.7895052403718874, 0.6115, 0.7983]"
5,"[0.8325807439155058, 0.7376, 0.7614]","[0.6862351666748732, 0.6304, 0.6614]","[0.7430979523475065, 0.5903, 0.7791]","[0.7425488793514544, 0.6594, 0.6996]","[0.6736451056564987, 0.5693, 0.6671]","[0.5853775706283986, 0.7097, 0.4195]","[0.8228690314341038, 0.7419, 0.7529]","[0.8216737586408719, 0.6493, 0.81]","[0.82084, 0.74, 0.7611]","[0.5382097468484166, 0.5, 0.5411]","[0.8249365173699281, 0.7228, 0.9226]","[0.8071029230841106, 0.6433, 0.7958]"
6,"[0.8346131605354015, 0.7517, 0.759]","[0.6851149736569995, 0.6304, 0.6602]","[0.7453333513425902, 0.6144, 0.7578]","[0.7371089133544816, 0.6811, 0.6352]","[0.6862663972266256, 0.7007, 0.6014]","[0.5978746746255639, 0.5968, 0.5526]","[0.8252610925719936, 0.7276, 0.7572]","[0.8222234525523198, 0.6948, 0.7698]","[0.8188685714285715, 0.8399, 0.6549]","[0.5311955519114482, 0.4659, 0.5569]","[0.8083499918958346, 0.7228, 0.9047]","[0.8050277981094172, 0.7133, 0.7579]"
7,"[0.8367051040019049, 0.8581, 0.687]","[0.6851149736569995, 0.6304, 0.6602]","[0.7490410070776379, 0.6385, 0.7377]","[0.7404392403226141, 0.7029, 0.6209]","[0.6738454436179293, 0.5912, 0.648]","[0.6035815037409542, 0.5591, 0.616]","[0.8280136365509002, 0.767, 0.7471]","[0.8215353465048958, 0.8116, 0.6784]","[0.8242114285714286, 0.7999, 0.7143]","[0.5425015373577944, 0.4318, 0.6054]","[0.8153600950888757, 0.7228, 0.8778]","[0.804583962748976, 0.6688, 0.7861]"
8,"[0.8352637039304727, 0.851, 0.6882]","[0.6957260327933428, 0.6304, 0.6568]","[0.7503579339780647, 0.5903, 0.7702]","[0.7428598826480894, 0.7029, 0.6395]","[0.685356166054039, 0.635, 0.6157]","[0.5981710890333484, 0.5914, 0.5488]","[0.8278359700078276, 0.7563, 0.7486]","[0.8209105145767753, 0.6558, 0.81]","[0.8211542857142858, 0.7999, 0.7349]","[0.5461591677769806, 0.3523, 0.7035]","[0.8153600950888757, 0.7228, 0.8778]","[0.8037079719060004, 0.707, 0.7494]"
9,"[0.8361183393710564, 0.851, 0.6918]","[0.6957260327933428, 0.6304, 0.6568]","[0.7531741315035929, 0.6265, 0.7601]","[0.7471258112002654, 0.6449, 0.7067]","[0.695377419298643, 0.5912, 0.6897]","[0.6047228695640323, 0.5376, 0.6248]","[0.8275887817739875, 0.7563, 0.7514]","[0.8268859642184856, 0.6883, 0.7832]","[0.8229028571428573, 0.67, 0.7886]","[0.5540317208158245, 0.3864, 0.6967]","[0.8171295045653466, 0.7228, 0.9047]","[0.8039649292199399, 0.7325, 0.7372]"
10,"[0.8369474633059509, 0.8085, 0.7038]","[0.6957260327933428, 0.6304, 0.6568]","[0.7557809714193096, 0.6144, 0.7691]","[0.7468718251746802, 0.6848, 0.6638]","[0.6952772503179276, 0.6423, 0.6181]","[0.6099799664745083, 0.5591, 0.6172]","[0.8272385984427141, 0.7204, 0.7701]","[0.8248849201955171, 0.8181, 0.6565]","[0.8283771428571428, 0.7999, 0.7543]","[0.5477157425438147, 0.3637, 0.7136]","[0.8171295045653466, 0.7228, 0.9047]","[0.810427794994783, 0.7325, 0.7555]"
