,Diag: Oppositional Defiant Disorder,Diag: Autism Spectrum Disorder,Diag: Generalized Anxiety Disorder,Diag: ADHD-Combined Type,Diag: Enuresis,Diag: Social Anxiety (Social Phobia),Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Specific Phobia,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics
50,"0.773,0.783","0.777,0.7567","0.7727,0.7442","0.7419,0.7529","0.7228,0.9047","0.74,0.7543","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.5401,0.7136","0.5806,0.6198","0.4546,0.6708"
49,"0.773,0.783","0.8025,0.7029","0.7922,0.7052","0.7419,0.7529","0.7228,0.9047","0.73,0.7577","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.4891,0.7446","0.5806,0.6198","0.4205,0.6855"
48,"0.773,0.783","0.7834,0.7506","0.7922,0.704","0.7419,0.7529","0.7228,0.9047","0.69,0.784","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.4818,0.7434","0.5806,0.6198","0.4205,0.6787"
47,"0.773,0.783","0.8025,0.7262","0.7792,0.7308","0.7419,0.7529","0.7228,0.9047","0.73,0.7703","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.5328,0.7052","0.5806,0.6198","0.4205,0.6731"
46,"0.773,0.783","0.8025,0.7518","0.7792,0.7308","0.7419,0.7529","0.7228,0.9047","0.69,0.792","0.6265,0.7657","0.6811,0.6795","0.6304,0.6568","0.4891,0.7363","0.5806,0.6198","0.4205,0.6731"
45,"0.773,0.783","0.8025,0.7457","0.7662,0.7418","0.7419,0.7529","0.7228,0.9047","0.69,0.7909","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.562,0.6981","0.5806,0.6198","0.4432,0.6629"
44,"0.773,0.783","0.7961,0.7494","0.7792,0.7211","0.7419,0.7529","0.7228,0.9047","0.65,0.8011","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.562,0.6981","0.5806,0.6198","0.4659,0.6629"
43,"0.7872,0.753","0.7961,0.7628","0.7727,0.7284","0.7419,0.7529","0.7228,0.9047","0.65,0.8023","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.5328,0.6969","0.5806,0.6198","0.4773,0.6009"
42,"0.7872,0.7494","0.8025,0.7433","0.7727,0.7247","0.7419,0.7529","0.7228,0.9047","0.67,0.7989","0.6265,0.7657","0.6811,0.6795","0.6304,0.6568","0.5255,0.7017","0.5806,0.6198","0.5114,0.5941"
41,"0.7872,0.7518","0.8025,0.7359","0.8052,0.687","0.7419,0.7529","0.7228,0.9047","0.67,0.8091","0.6265,0.7657","0.6811,0.6795","0.6304,0.6568","0.5474,0.7029","0.5753,0.6198","0.4659,0.6144"
40,"0.7872,0.7578","0.8025,0.7457","0.8052,0.6918","0.7419,0.7529","0.7228,0.9047","0.67,0.8023","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.5474,0.6981","0.5806,0.6198","0.4659,0.6077"
39,"0.7872,0.7578","0.7834,0.7567","0.8116,0.6833","0.7419,0.7529","0.7228,0.9047","0.68,0.792","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.4672,0.7434","0.5806,0.6223","0.4432,0.6268"
38,"0.7872,0.7578","0.777,0.7726","0.7727,0.7272","0.7419,0.7529","0.7228,0.9047","0.71,0.7703","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.4672,0.7339","0.5806,0.6223","0.4318,0.6358"
37,"0.7872,0.7578","0.777,0.7689","0.8506,0.6468","0.7419,0.7529","0.7228,0.9047","0.71,0.7669","0.6265,0.7657","0.6775,0.6795","0.6304,0.6568","0.5912,0.6587","0.5806,0.6223","0.4318,0.6381"
36,"0.7872,0.7578","0.7961,0.7555","0.8506,0.6577","0.7419,0.7529","0.7228,0.9047","0.71,0.7657","0.6265,0.7657","0.6558,0.711","0.6304,0.6568","0.5985,0.6241","0.5806,0.6223","0.4773,0.6088"
35,"0.7872,0.7578","0.7961,0.731","0.7727,0.7332","0.7419,0.7529","0.7228,0.9047","0.73,0.7566","0.6867,0.7343","0.6558,0.711","0.6304,0.6568","0.5036,0.6993","0.6021,0.5906","0.4659,0.6133"
34,"0.7872,0.7578","0.8025,0.7262","0.7662,0.732","0.7419,0.7529","0.7228,0.9047","0.63,0.8217","0.6867,0.7343","0.6775,0.6881","0.6304,0.6568","0.5255,0.7088","0.6021,0.5932","0.4318,0.6302"
33,"0.8085,0.729","0.8025,0.72","0.8052,0.6857","0.7419,0.7529","0.7228,0.9047","0.65,0.8034","0.6867,0.7343","0.6775,0.6881","0.6304,0.6568","0.5401,0.7041","0.6021,0.5919","0.4205,0.6404"
32,"0.8085,0.7302","0.8025,0.7188","0.7857,0.7016","0.7419,0.7529","0.7228,0.9047","0.65,0.8","0.6867,0.7343","0.721,0.6438","0.6304,0.6568","0.5693,0.6766","0.6021,0.5919","0.4205,0.6358"
31,"0.8156,0.7314","0.8025,0.7372","0.8246,0.6663","0.7419,0.7529","0.7228,0.9047","0.64,0.8023","0.6867,0.7354","0.721,0.6438","0.6304,0.6568","0.4161,0.7912","0.6183,0.5741","0.4432,0.6313"
30,"0.8156,0.7302","0.828,0.72","0.7987,0.7016","0.7419,0.7529","0.7228,0.9047","0.69,0.7886","0.6867,0.7321","0.721,0.6438","0.6304,0.6568","0.4234,0.7947","0.6559,0.5488","0.4546,0.6449"
29,"0.773,0.7602","0.8407,0.698","0.7857,0.7065","0.7419,0.7529","0.7228,0.9047","0.7,0.7851","0.6867,0.7321","0.721,0.6438","0.6304,0.6568","0.4161,0.7876","0.586,0.602","0.4546,0.646"
28,"0.773,0.7614","0.8025,0.7372","0.7792,0.7077","0.7419,0.7529","0.7228,0.9047","0.7,0.784","0.6867,0.7321","0.7029,0.6638","0.6304,0.6568","0.4818,0.7446","0.5699,0.6147","0.5454,0.5603"
27,"0.7801,0.7566","0.8471,0.7017","0.7792,0.7004","0.7849,0.727","0.7228,0.9047","0.68,0.8057","0.6506,0.7578","0.7029,0.6638","0.6304,0.6568","0.3577,0.8186","0.586,0.602","0.5682,0.5614"
26,"0.7801,0.7566","0.8407,0.709","0.7792,0.6991","0.7849,0.727","0.7228,0.9047","0.7,0.7851","0.6506,0.7578","0.7029,0.6638","0.6304,0.6568","0.5109,0.7327","0.586,0.602","0.5114,0.593"
25,"0.773,0.771","0.8152,0.7249","0.7922,0.6882","0.7849,0.727","0.7228,0.9047","0.7,0.7726","0.6626,0.7578","0.7029,0.6638","0.6304,0.6568","0.5036,0.7446","0.586,0.602","0.4205,0.6065"
24,"0.773,0.7734","0.828,0.6993","0.7987,0.6821","0.7813,0.7313","0.7228,0.9047","0.69,0.784","0.6024,0.7881","0.7029,0.6638","0.6304,0.6568","0.5036,0.7446","0.586,0.602","0.5,0.5874"
23,"0.8014,0.7338","0.8216,0.7029","0.7987,0.6845","0.7813,0.7313","0.7228,0.9047","0.7,0.7829","0.6024,0.7881","0.7029,0.6624","0.6304,0.6568","0.4964,0.7554","0.4462,0.73","0.4091,0.6652"
22,"0.7943,0.7602","0.8471,0.6821","0.7922,0.687","0.7813,0.7313","0.7228,0.9047","0.71,0.7691","0.6385,0.7601","0.7138,0.6395","0.6304,0.6568","0.5109,0.7518","0.4462,0.73","0.5,0.5784"
21,"0.8085,0.7362","0.8471,0.6687","0.7987,0.6845","0.7813,0.7313","0.7228,0.9047","0.71,0.7657","0.6385,0.7601","0.7138,0.6395","0.6304,0.6568","0.6131,0.6229","0.5753,0.6223","0.4432,0.611"
20,"0.7659,0.7674","0.8535,0.6626","0.8181,0.6638","0.7813,0.7313","0.7228,0.9047","0.7,0.7646","0.6385,0.7567","0.6884,0.6538","0.6304,0.6568","0.3723,0.8234","0.5753,0.6223","0.4091,0.6505"
19,"0.7588,0.7698","0.8216,0.6944","0.7987,0.6784","0.7598,0.7457","0.7228,0.9047","0.72,0.7611","0.6506,0.75","0.7391,0.5994","0.6304,0.6568","0.4745,0.7625","0.5484,0.6603","0.3978,0.6404"
18,"0.7588,0.7698","0.828,0.6711","0.7987,0.6699","0.7348,0.7572","0.7228,0.9047","0.73,0.7566","0.6506,0.7466","0.7391,0.5994","0.6304,0.6568","0.6642,0.6169","0.5968,0.5792","0.3296,0.6855"
17,"0.7801,0.7662","0.8089,0.7103","0.7143,0.7515","0.7348,0.7572","0.7228,0.9047","0.71,0.7657","0.5903,0.7982","0.6848,0.6466","0.6304,0.6568","0.4526,0.7721","0.5968,0.5792","0.3523,0.6753"
16,"0.8014,0.7422","0.6688,0.8154","0.7078,0.7625","0.7348,0.7572","0.7228,0.9047","0.74,0.7554","0.5903,0.7904","0.6848,0.6466","0.6304,0.6568","0.3869,0.8329","0.5968,0.5792","0.4659,0.602"
15,"0.7092,0.7806","0.6879,0.7824","0.7272,0.743","0.7348,0.7572","0.7228,0.9047","0.75,0.7303","0.6024,0.7724","0.7246,0.6309","0.6304,0.6568","0.4453,0.7947","0.6559,0.512","0.2841,0.7463"
14,"0.7092,0.7806","0.7388,0.7408","0.7272,0.7442","0.7491,0.7442","0.7228,0.9047","0.8599,0.6629","0.6144,0.7691","0.7246,0.6309","0.6304,0.6568","0.4745,0.7745","0.6828,0.4791","0.3523,0.6922"
13,"0.7872,0.747","0.7325,0.7506","0.8052,0.6918","0.7419,0.7486","0.7228,0.9047","0.7799,0.7371","0.6265,0.7679","0.721,0.6223","0.6304,0.6568","0.5766,0.6993","0.5323,0.6426","0.3182,0.7351"
12,"0.7376,0.7662","0.7006,0.7751","0.7402,0.7491","0.7598,0.7428","0.7228,0.9047","0.7599,0.792","0.6144,0.7679","0.663,0.7182","0.6304,0.6568","0.6204,0.6635","0.5323,0.6426","0.3637,0.7362"
11,"0.8014,0.7218","0.707,0.7604","0.7208,0.7637","0.8279,0.6796","0.7228,0.9047","0.8299,0.7166","0.6144,0.7735","0.6304,0.7668","0.6304,0.6568","0.635,0.6325","0.5538,0.6198","0.3296,0.7396"
10,"0.8085,0.7038","0.7325,0.7555","0.8181,0.6565","0.7204,0.7701","0.7228,0.9047","0.7999,0.7543","0.6144,0.7691","0.6848,0.6638","0.6304,0.6568","0.6423,0.6181","0.5591,0.6172","0.3637,0.7136"
9,"0.851,0.6918","0.7325,0.7372","0.6883,0.7832","0.7563,0.7514","0.7228,0.9047","0.67,0.7886","0.6265,0.7601","0.6449,0.7067","0.6304,0.6568","0.5912,0.6897","0.5376,0.6248","0.3864,0.6967"
8,"0.851,0.6882","0.707,0.7494","0.6558,0.81","0.7563,0.7486","0.7228,0.8778","0.7999,0.7349","0.5903,0.7702","0.7029,0.6395","0.6304,0.6568","0.635,0.6157","0.5914,0.5488","0.3523,0.7035"
7,"0.8581,0.687","0.6688,0.7861","0.8116,0.6784","0.767,0.7471","0.7228,0.8778","0.7999,0.7143","0.6385,0.7377","0.7029,0.6209","0.6304,0.6602","0.5912,0.648","0.5591,0.616","0.4318,0.6054"
6,"0.7517,0.759","0.7133,0.7579","0.6948,0.7698","0.7276,0.7572","0.7228,0.9047","0.8399,0.6549","0.6144,0.7578","0.6811,0.6352","0.6304,0.6602","0.7007,0.6014","0.5968,0.5526","0.4659,0.5569"
5,"0.7376,0.7614","0.6433,0.7958","0.6493,0.81","0.7419,0.7529","0.7228,0.9226","0.74,0.7611","0.5903,0.7791","0.6594,0.6996","0.6304,0.6614","0.5693,0.6671","0.7097,0.4195","0.5,0.5411"
4,"0.6596,0.8034","0.6115,0.7983","0.6558,0.8027","0.7742,0.7356","0.7228,0.9226","0.8199,0.6811","0.6144,0.7399","0.7174,0.6381","0.6304,0.6614","0.6861,0.5644","0.4785,0.6819","0.4773,0.5141"
3,"0.7376,0.7746","0.6751,0.7188","0.6623,0.7856","0.8064,0.6681","0.7228,0.9215","0.7899,0.696","0.4097,0.815","0.6739,0.598","0.7282,0.5357","0.6496,0.5978","0.4839,0.6223","0.4773,0.6077"
2,"0.6879,0.7878","0.5541,0.7689","0.7337,0.7284","0.6917,0.7759","0.7228,0.9215","0.8199,0.648","0.6867,0.6569","0.5652,0.7296","0.4131,0.8109","0.5766,0.7327","0.4946,0.5944","0.5682,0.5445"
1,"0.6241,0.783","0.7388,0.5526","0.4546,0.9086","0.595,0.8405","0.6867,0.9361","0.7899,0.6983","0.3133,0.852","0.587,0.6252","0.6195,0.6772","0.6058,0.7172","0.5645,0.5032","0.6022,0.5163"
