Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Oppositional Defiant Disorder,111.01,634.01,200.01,30.01,0.14,0.7641,0.3569,0.9548,0.6431,0.0452,1.0,1.0,0.7872,0.2398,0.2128,0.7602,1.0,1.0,3.2827,0.2799,1,0.4911,0.4131,0.5474000000000001,0.3117000000000001,0.32,0.8448645339047911,469.0
Diag: Autism Spectrum Disorder,132.01,581.01,237.01,25.01,0.16,0.7313,0.3577,0.9587,0.6423,0.0413,1.0,1.0,0.8407,0.2897,0.1593,0.7103,1.0,1.0,2.902,0.2243,1,0.5019,0.4176,0.5510000000000002,0.3164,0.38,0.8342080264120972,524.0
Diag: Generalized Anxiety Disorder,108.01,645.01,176.01,46.01,0.16,0.7723,0.3803,0.9334,0.6197,0.0666,1.0,1.0,0.7013,0.2144,0.2987,0.7856,1.0,1.0,3.271,0.3802,1,0.4932,0.3908,0.4868999999999999,0.3137000000000001,0.29,0.8281949475615735,512.0
Diag: ADHD-Combined Type,205.01,526.01,170.01,74.01,0.29,0.7497,0.5467,0.8767,0.4533,0.1233,1.0,1.0,0.7348,0.2443,0.2652,0.7557,1.0,1.0,3.0078,0.3509,1,0.6269,0.4557,0.49049999999999994,0.4234,0.38,0.8264120627858115,931.0
Diag: Enuresis,60.01,812.01,80.01,23.01,0.09,0.8943,0.4286,0.9724,0.5714,0.0276,1.0,1.0,0.7228,0.0897,0.2772,0.9103,1.0,1.0,8.058,0.3045,1,0.5381,0.5039,0.6331,0.401,0.14,0.8218231671078933,278.0
Diag: Social Anxiety (Social Phobia),74.01,653.01,222.01,26.01,0.1,0.7456,0.25,0.9617,0.75,0.0383,1.0,1.0,0.74,0.2537,0.26,0.7463,1.0,1.0,2.9168,0.3484,1,0.3737,0.3208,0.48629999999999995,0.2117,0.3,0.8085257142857143,334.0
Diag: No Diagnosis Given,52.01,683.01,209.01,31.01,0.09,0.7538,0.1993,0.9566,0.8007,0.0434,1.0,1.0,0.6265,0.2343,0.3735,0.7657,1.0,1.0,2.6739,0.4878,1,0.3024,0.2472,0.3921999999999999,0.15589999999999993,0.27,0.7655735047814576,276.0
Diag: ADHD-Inattentive Type,205.01,435.01,264.01,71.01,0.28,0.6564,0.4371,0.8597,0.5629,0.1403,1.0,1.0,0.7427,0.3777,0.2573,0.6223,1.0,1.0,1.9664,0.4135,1,0.5503,0.3291,0.365,0.29679999999999995,0.48,0.7524958014554954,919.0
Diag: Specific Phobia,62.01,564.01,319.01,30.01,0.09,0.642,0.1627,0.9495,0.8373,0.0505,1.0,1.0,0.6739,0.3613,0.3261,0.6387,1.0,1.0,1.8652,0.5106,1,0.2621,0.1873,0.3126000000000002,0.11220000000000008,0.39,0.6947535575360679,306.0
Diag: Language Disorder,44.01,694.01,144.01,93.01,0.14,0.7569,0.2341,0.8818,0.7659,0.1182,1.0,1.0,0.3212,0.1718,0.6788,0.8282,1.0,1.0,1.8696,0.8196,1,0.2708,0.1316,0.14939999999999998,0.11590000000000011,0.19,0.6683230841593646,458.0
Diag: Specific Learning Disorder with Impairment in Reading,106.01,503.01,286.01,80.01,0.19,0.6246,0.2704,0.8628,0.7296,0.1372,1.0,1.0,0.5699,0.3625,0.4301,0.6375,1.0,1.0,1.5721,0.6747,1,0.3668,0.1662,0.2073999999999998,0.13319999999999999,0.4,0.631481935756436,619.0
Diag: Specific Learning Disorder with Impairment in Mathematics,41.01,566.01,321.01,47.01,0.09,0.6226,0.1133,0.9233,0.8867,0.0767,1.0,1.0,0.4659,0.3619,0.5341,0.6381,1.0,1.0,1.2874,0.837,1,0.1823,0.0617,0.10400000000000009,0.036599999999999966,0.37,0.562378292507943,294.0
