,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.02304929943187449,
                                    l1_ratio=0.2776996145202614,
                                    penalty='elasticnet', solver='saga'))])",0.8716604132719002,0.023480759508111432,469,0.8481796537637888
1,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.013745980541155178,
                                    class_weight='balanced',
                                    l1_ratio=0.9720880299703255,
                                    penalty='elasticnet', solver='saga'))])",0.7163174613534915,0.043418009896472896,306,0.6728994514570186
2,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.004309807825793728,
                                    class_weight='balanced',
                                    l1_ratio=0.20755490010843092,
                                    penalty='elasticnet', solver='saga'))])",0.8302844010809608,0.03145366957514744,276,0.7988307315058134
3,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.05398906808805166,
                                    l1_ratio=0.10228891534584517, penalty='l1',
                                    solver='saga'))])",0.732196601157247,0.014112073210332927,919,0.7180845279469141
4,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0027625477979072314,
                                    class_weight='balanced',
                                    l1_ratio=0.2792774694276944,
                                    solver='saga'))])",0.6802989446824238,0.0072757476182921015,458,0.6730231970641317
5,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.019880816666289512,
                                    class_weight='balanced',
                                    l1_ratio=0.46247870635659294,
                                    penalty='elasticnet', solver='saga'))])",0.5981249672937984,0.007478592833357322,619,0.5906463744604411
6,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.02239336958267041,
                                    l1_ratio=0.6029394031406734,
                                    penalty='elasticnet', solver='saga'))])",0.840433692497229,0.011914331946106594,931,0.8285193605511224
7,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.004971986464285889,
                                    l1_ratio=0.7683480463402262,
                                    solver='saga'))])",0.8364185571010702,0.011868587325866884,512,0.8245499697752032
8,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.002647513846489733,
                                    class_weight='balanced',
                                    l1_ratio=0.2845406812502095,
                                    solver='saga'))])",0.8082927011671707,0.02810099545333595,334,0.7801917057138347
9,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.004052432805902014,
                                    class_weight='balanced',
                                    l1_ratio=0.9244351707849007,
                                    solver='saga'))])",0.6414627250534214,0.019234859768877437,294,0.622227865284544
10,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.051815515209367335,
                                    l1_ratio=0.5878032501425526, penalty='l1',
                                    solver='saga'))])",0.8167667432118298,0.034484643053369915,278,0.7822821001584599
11,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0027612433374192224,
                                    l1_ratio=0.5345523315697649,
                                    solver='saga'))])",0.8395386978010592,0.011311553496583955,524,0.8282271443044752
