,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.5065309454564009, 0.0923, 0.9209]","[0.5420995617706436, 0.2609, 0.8233]","[0.5478078232211356, 0.8433, 0.2522]","[0.4856316476954655, 0.4348, 0.5365]","[0.6035137536365696, 0.3431, 0.864]","[0.55329326628235, 0.2688, 0.8378]","[0.6026603633667038, 0.3979, 0.8075]","[0.5059200847873199, 0.8376, 0.1742]","[0.5405714285714285, 0.8399, 0.2411]","[0.5298695808137748, 0.2841, 0.7756]","[0.5140472202712194, 0.759, 0.2691]","[0.6583324248983851, 0.3949, 0.9218]"
2,"[0.5177432522067452, 0.1915, 0.8453]","[0.5295804815598997, 0.4131, 0.6115]","[0.572457993408612, 0.759, 0.3599]","[0.5062045157678672, 0.3804, 0.6137]","[0.5982004424855843, 0.3431, 0.864]","[0.5643287406135438, 0.2688, 0.8378]","[0.6260659992584353, 0.4982, 0.7371]","[0.557998639606435, 0.2533, 0.8356]","[0.5887028571428572, 0.8899, 0.2183]","[0.5482025725120426, 0.2841, 0.7756]","[0.5312483116321789, 0.6747, 0.3823]","[0.7292837898867831, 0.5669, 0.8704]"
3,"[0.5701651444801605, 0.4681, 0.6799]","[0.5379942390073366, 0.4783, 0.5685]","[0.5829123669566157, 0.7469, 0.3823]","[0.5042503783873443, 0.3804, 0.6137]","[0.6010400153302092, 0.4599, 0.716]","[0.5623253880643798, 0.3118, 0.782]","[0.6333889506859475, 0.4982, 0.7371]","[0.5471748105731055, 0.2663, 0.8209]","[0.6146171428571428, 0.29, 0.8606]","[0.5480552423900789, 0.2841, 0.7858]","[0.5569790372251338, 0.759, 0.3498]","[0.7896921184183888, 0.7707, 0.7188]"
4,"[0.5764154633739816, 0.4114, 0.717]","[0.5569698163375842, 0.5217, 0.5493]","[0.5778472634934356, 0.6867, 0.4215]","[0.5079461342290228, 0.3986, 0.5637]","[0.6465341532672508, 0.5985, 0.6325]","[0.5533750357741527, 0.2635, 0.8086]","[0.6443218802784987, 0.5233, 0.7256]","[0.5481278769951121, 0.2663, 0.8209]","[0.5880514285714286, 0.25, 0.8686]","[0.5217279901609101, 0.7386, 0.2706]","[0.5704319520233398, 0.7349, 0.361]","[0.8115334901032502, 0.8407, 0.6577]"
5,"[0.5753907512288041, 0.4539, 0.6942]","[0.5517258358363287, 0.5217, 0.5379]","[0.5875992760278783, 0.6506, 0.4675]","[0.5113153366092347, 0.3768, 0.6037]","[0.6471874292284376, 0.5912, 0.6623]","[0.5540053422734644, 0.242, 0.8226]","[0.6392648209945205, 0.5125, 0.7342]","[0.5609922963759749, 0.3377, 0.7795]","[0.5790742857142858, 0.27, 0.8354]","[0.5033309418878754, 0.6818, 0.2762]","[0.5850667242962884, 0.6506, 0.4865]","[0.8168595144285425, 0.6942, 0.8178]"
6,"[0.5795108593975882, 0.5461, 0.5887]","[0.5712061155152888, 0.4783, 0.5742]","[0.5905100221513858, 0.5903, 0.5235]","[0.5205650929899858, 0.4312, 0.5665]","[0.6508588401303067, 0.5182, 0.7554]","[0.5615519849544135, 0.7849, 0.2738]","[0.642344374407778, 0.534, 0.7184]","[0.5728917854374614, 0.3637, 0.7674]","[0.5781885714285713, 0.25, 0.8434]","[0.512625550886543, 0.6477, 0.363]","[0.5850667242962884, 0.6506, 0.4865]","[0.8270560478407799, 0.6815, 0.8472]"
7,"[0.5852849635185469, 0.4965, 0.6595]","[0.5721416613324142, 0.6087, 0.5096]","[0.6021259927602788, 0.5783, 0.5538]","[0.5140962244199789, 0.4058, 0.5823]","[0.650545267668937, 0.5693, 0.7124]","[0.5624241928669746, 0.2957, 0.7896]","[0.6534884439500681, 0.4516, 0.7672]","[0.5732832940506509, 0.3572, 0.7674]","[0.5793600000000001, 0.37, 0.7474]","[0.5161742851286256, 0.3182, 0.7125]","[0.5824801447944243, 0.6385, 0.4933]","[0.823108249108436, 0.7579, 0.7653]"
8,"[0.5932445532935354, 0.4752, 0.6739]","[0.574923679157024, 0.5978, 0.521]","[0.6052055756658923, 0.5662, 0.5661]","[0.5116341149882856, 0.5145, 0.4592]","[0.653332578436667, 0.5474, 0.7148]","[0.5651736920288374, 0.3441, 0.7592]","[0.6596990483252998, 0.5125, 0.7371]","[0.5708432858250154, 0.3442, 0.771]","[0.5827714285714286, 0.39, 0.7269]","[0.5258532335758943, 0.4318, 0.6257]","[0.5707088443459938, 0.6626, 0.4675]","[0.8239725600735054, 0.7388, 0.8044]"
9,"[0.5863224314165688, 0.5177, 0.6523]","[0.5751329459845389, 0.4891, 0.6127]","[0.6109392727862121, 0.5542, 0.5919]","[0.5109835997594907, 0.5145, 0.475]","[0.6520347368604429, 0.5255, 0.7399]","[0.559851860937351, 0.7043, 0.3485]","[0.6671893667861408, 0.5305, 0.7141]","[0.5701393612477657, 0.4675, 0.6005]","[0.5808914285714286, 0.35, 0.7554]","[0.5329058624577228, 0.4546, 0.6099]","[0.5810213949970284, 0.6867, 0.4574]","[0.828944294768972, 0.7516, 0.7775]"
10,"[0.5888948415735495, 0.5745, 0.5683]","[0.5738773450194495, 0.4891, 0.5968]","[0.6054554541034092, 0.506, 0.6211]","[0.5110898592191744, 0.4275, 0.5594]","[0.6502621814190896, 0.5182, 0.7458]","[0.5635246739441515, 0.6935, 0.36]","[0.6704079635809335, 0.552, 0.7083]","[0.5724765490295332, 0.4675, 0.6017]","[0.57944, 0.4, 0.7017]","[0.5334375320282874, 0.4205, 0.6302]","[0.5806837214328164, 0.7228, 0.4193]","[0.8370111971096196, 0.7579, 0.7812]"
11,"[0.5870410054934775, 0.6099, 0.5144]","[0.5692180806538973, 0.5, 0.6048]","[0.6110608352693285, 0.506, 0.6211]","[0.5107866310049554, 0.5326, 0.4764]","[0.6531932128982807, 0.5182, 0.7363]","[0.5688839827193808, 0.672, 0.4271]","[0.6711624026696329, 0.6487, 0.6164]","[0.5728996947023743, 0.461, 0.6139]","[0.5858171428571428, 0.39, 0.712]","[0.5233550271599876, 0.4318, 0.646]","[0.5852760819060997, 0.5301, 0.63]","[0.8403516421908336, 0.7579, 0.7848]"
12,"[0.5870452574110925, 0.3901, 0.7362]","[0.5750898616376976, 0.5109, 0.6025]","[0.6176927440704523, 0.7108, 0.4888]","[0.5161514378719081, 0.4348, 0.5708]","[0.649495670957964, 0.5328, 0.7184]","[0.5772551344426727, 0.5753, 0.5488]","[0.6721640299921725, 0.6487, 0.6135]","[0.568877833494155, 0.5714, 0.4994]","[0.5848457142857142, 0.26, 0.8]","[0.526910167059547, 0.5, 0.5761]","[0.5852693284348155, 0.4217, 0.6693]","[0.8449301543301201, 0.7961, 0.7689]"
13,"[0.5862331411466571, 0.4114, 0.723]","[0.5708491309271752, 0.5326, 0.5764]","[0.6227173267059268, 0.4819, 0.6435]","[0.5161384794012149, 0.4312, 0.5865]","[0.6471787188822884, 0.4161, 0.8055]","[0.5783181378361066, 0.5753, 0.5539]","[0.6692157953281423, 0.4946, 0.7414]","[0.5660937722448075, 0.5584, 0.5067]","[0.5946685714285714, 0.37, 0.7349]","[0.53953571794609, 0.5454, 0.5502]","[0.5892808903776541, 0.506, 0.6323]","[0.8466743494308007, 0.777, 0.7799]"
14,"[0.5917733897987993, 0.4185, 0.7158]","[0.5749175242503324, 0.5435, 0.5583]","[0.6204008860554324, 0.6867, 0.5247]","[0.5182325682652236, 0.4819, 0.5308]","[0.6483371949201261, 0.5474, 0.7029]","[0.5795140166537198, 0.5699, 0.5539]","[0.6697899929963333, 0.5627, 0.6882]","[0.5659355869465492, 0.3637, 0.7077]","[0.5917257142857143, 0.3, 0.7851]","[0.5438531310853746, 0.5227, 0.5885]","[0.5850937381814252, 0.506, 0.63]","[0.8464563250432154, 0.7643, 0.8044]"
15,"[0.5893327890878787, 0.4255, 0.7062]","[0.5751021714510808, 0.5543, 0.5481]","[0.6163555567561727, 0.6626, 0.5359]","[0.5145808712239016, 0.4167, 0.6023]","[0.6582408584917164, 0.5693, 0.6885]","[0.5747611649426931, 0.5591, 0.5627]","[0.6702843694640136, 0.5663, 0.6839]","[0.5659276776816362, 0.3637, 0.7077]","[0.5959885714285713, 0.28, 0.8148]","[0.5343791636773598, 0.5909, 0.5389]","[0.5852490680209628, 0.6024, 0.5751]","[0.8459268372447947, 0.7834, 0.7861]"
