,Diag: Autism Spectrum Disorder,Diag: ADHD-Combined Type,Diag: Language Disorder,Diag: No Diagnosis Given,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: ADHD-Inattentive Type
50,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
49,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
48,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5437","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
47,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
46,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5437","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
45,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
44,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
43,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
42,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
41,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
