Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Autism Spectrum Disorder,121.01,633.01,185.01,36.01,0.16,0.7733,0.3954,0.9462,0.6046,0.0538,1.0,1.0,0.7707,0.2262,0.2293,0.7738,1.0,1.0,3.4072,0.2963,1,0.5227,0.4313,0.5445000000000002,0.3416000000000001,0.31,0.8525298615545138,524.0
Diag: ADHD-Combined Type,159.01,476.01,220.01,120.01,0.29,0.6513,0.4195,0.7986,0.5805,0.2014,1.0,1.0,0.5699,0.3161,0.4301,0.6839,1.0,1.0,1.8029,0.6289,1,0.4833,0.2353,0.2538,0.21809999999999996,0.39,0.6729493676101017,931.0
Diag: Language Disorder,87.01,509.01,329.01,50.01,0.14,0.6113,0.2091,0.9105,0.7909,0.0895,1.0,1.0,0.635,0.3926,0.365,0.6074,1.0,1.0,1.6174,0.6009,1,0.3146,0.1703,0.24239999999999995,0.11959999999999993,0.43,0.6541644164939114,458.0
Diag: No Diagnosis Given,52.01,509.01,383.01,31.01,0.09,0.5754,0.1196,0.9426,0.8804,0.0574,1.0,1.0,0.6265,0.4294,0.3735,0.5706,1.0,1.0,1.459,0.6546,1,0.2009,0.1107,0.19709999999999983,0.06220000000000003,0.45,0.6188138203036361,276.0
Diag: Oppositional Defiant Disorder,91.01,444.01,390.01,50.01,0.14,0.5487,0.1892,0.8988,0.8108,0.1012,1.0,1.0,0.6454,0.4676,0.3546,0.5324,1.0,1.0,1.3802,0.666,1,0.2926,0.125,0.17779999999999996,0.08800000000000008,0.49,0.6038445839073422,469.0
Diag: Specific Learning Disorder with Impairment in Reading,110.01,428.01,361.01,76.01,0.19,0.5518,0.2336,0.8492,0.7664,0.1508,1.0,1.0,0.5914,0.4575,0.4086,0.5425,1.0,1.0,1.2927,0.7532,1,0.3349,0.1052,0.13390000000000013,0.08279999999999998,0.48,0.5946890715074206,619.0
Diag: Social Anxiety (Social Phobia),56.01,520.01,355.01,44.01,0.1,0.5908,0.1363,0.922,0.8637,0.078,1.0,1.0,0.56,0.4057,0.44,0.5943,1.0,1.0,1.3803,0.7404,1,0.2192,0.0948,0.1543000000000001,0.05830000000000002,0.42,0.5896457142857142,334.0
Diag: Enuresis,32.01,578.01,314.01,51.01,0.09,0.6256,0.0925,0.9189,0.9075,0.0811,1.0,1.0,0.3856,0.352,0.6144,0.648,1.0,1.0,1.0955,0.9481,1,0.1492,0.0196,0.033600000000000074,0.011400000000000077,0.35,0.5739032362634394,278.0
Diag: Generalized Anxiety Disorder,70.01,505.01,316.01,84.01,0.16,0.5897,0.1814,0.8574,0.8186,0.1426,1.0,1.0,0.4546,0.3849,0.5454,0.6151,1.0,1.0,1.1811,0.8867,1,0.2593,0.0519,0.0697000000000001,0.03880000000000017,0.4,0.5695026654222757,512.0
Diag: Specific Phobia,50.01,495.01,388.01,42.01,0.09,0.559,0.1142,0.9218,0.8858,0.0782,1.0,1.0,0.5435,0.4394,0.4565,0.5606,1.0,1.0,1.2369,0.8143,1,0.1887,0.0612,0.10409999999999986,0.03600000000000003,0.45,0.5527783248805949,306.0
Diag: Specific Learning Disorder with Impairment in Mathematics,52.01,434.01,453.01,36.01,0.09,0.4985,0.103,0.9234,0.897,0.0766,1.0,1.0,0.5909,0.5107,0.4091,0.4893,1.0,1.0,1.157,0.8361,1,0.1754,0.046,0.08020000000000005,0.02639999999999998,0.52,0.5209400942912781,294.0
Diag: ADHD-Inattentive Type,132.01,373.01,326.01,144.01,0.28,0.5179,0.2882,0.7215,0.7118,0.2785,1.0,1.0,0.4783,0.4664,0.5217,0.5336,1.0,1.0,1.0255,0.9777,1,0.3597,0.0107,0.011900000000000022,0.009700000000000042,0.47,0.5205573179075699,919.0
