,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.7640440838818308, 0.5745, 0.8153]","[0.6469791717957556, 0.5543, 0.6976]","[0.7359730401426334, 0.759, 0.6525]","[0.6538896145632477, 0.6594, 0.5994]","[0.5509903663571591, 0.3942, 0.679]","[0.5130013491966148, 0.457, 0.5653]","[0.7928047624933053, 0.6702, 0.8146]","[0.7894079124286189, 0.8571, 0.6309]","[0.7014057142857143, 0.8499, 0.4777]","[0.5613405759967203, 0.5341, 0.5648]","[0.6075490302015236, 0.7831, 0.3442]","[0.682840702038528, 0.6433, 0.6968]"
2,"[0.8103006956137218, 0.8794, 0.6271]","[0.6787569550445616, 0.5869, 0.6727]","[0.7626424982440975, 0.7228, 0.6973]","[0.6493489664323775, 0.6014, 0.5823]","[0.5570135707193004, 0.5912, 0.4797]","[0.5506255366122899, 0.4839, 0.6147]","[0.8053289663412021, 0.7025, 0.773]","[0.7950788553711818, 0.8571, 0.6309]","[0.7326685714285716, 0.6, 0.7554]","[0.5437890745106078, 0.4432, 0.6133]","[0.628147117618456, 0.5903, 0.6356]","[0.720699079625621, 0.6942, 0.6394]"
3,"[0.8212663911424052, 0.8085, 0.6715]","[0.6904882071987788, 0.6413, 0.5866]","[0.7635609703387541, 0.6506, 0.7377]","[0.7095306960253779, 0.5217, 0.7768]","[0.5817857951675, 0.4818, 0.6683]","[0.5635894081251618, 0.5914, 0.5006]","[0.8147221192271248, 0.7813, 0.7126]","[0.8063416486071785, 0.8441, 0.6711]","[0.7388457142857142, 0.5, 0.8217]","[0.5451086399508045, 0.4432, 0.6077]","[0.6402898589875196, 0.6626, 0.5224]","[0.7458614299285192, 0.5732, 0.8142]"
4,"[0.8208326955456913, 0.7517, 0.7386]","[0.6874969225466541, 0.6087, 0.6014]","[0.7632908314873845, 0.6626, 0.7601]","[0.696372664883581, 0.4493, 0.8126]","[0.6095543786910094, 0.5255, 0.6599]","[0.561780258119029, 0.6075, 0.4842]","[0.8145006797676431, 0.7563, 0.7428]","[0.809703086195169, 0.8506, 0.6565]","[0.7404228571428572, 0.53, 0.8069]","[0.5589256431280107, 0.5341, 0.566]","[0.6445580528391592, 0.6506, 0.5482]","[0.7519700060735366, 0.5923, 0.8142]"
5,"[0.8259902716124973, 0.6454, 0.8177]","[0.6856996897927028, 0.5652, 0.6704]","[0.7657626019774164, 0.6626, 0.7612]","[0.7015612365491074, 0.5072, 0.7668]","[0.6205555458773933, 0.6131, 0.5811]","[0.5658585115226842, 0.5054, 0.564]","[0.8232295142751205, 0.7276, 0.7543]","[0.8108697027698246, 0.8506, 0.637]","[0.7347485714285715, 0.71, 0.5909]","[0.5716344675617505, 0.5341, 0.566]","[0.6424172024420554, 0.5783, 0.6424]","[0.7704242131655584, 0.5796, 0.8508]"
6,"[0.8259392486011192, 0.8014, 0.6846]","[0.6755748682849967, 0.5652, 0.658]","[0.7698619590469501, 0.6506, 0.7904]","[0.7116999440194067, 0.5471, 0.7654]","[0.6250892810480289, 0.4672, 0.7231]","[0.5638790084086294, 0.5, 0.5703]","[0.8219266262925885, 0.7563, 0.7313]","[0.8167739690273186, 0.8441, 0.6602]","[0.7401542857142857, 0.69, 0.6434]","[0.5709234395818388, 0.5341, 0.5648]","[0.6401547895618348, 0.6506, 0.5684]","[0.773351969227415, 0.6624, 0.7457]"
7,"[0.8257861795669847, 0.7376, 0.7422]","[0.677279777438574, 0.6087, 0.6421]","[0.7692001188610946, 0.6265, 0.7937]","[0.7271542161680249, 0.5978, 0.7368]","[0.6241877602215912, 0.4672, 0.7243]","[0.5740831595731632, 0.5753, 0.5184]","[0.8241075474807398, 0.7527, 0.7399]","[0.8169163357957511, 0.8506, 0.6382]","[0.75488, 0.6, 0.7623]","[0.5709234395818388, 0.5341, 0.5648]","[0.643875952239451, 0.5783, 0.6323]","[0.7832642922772646, 0.6115, 0.8044]"
8,"[0.8258457064135926, 0.7872, 0.7206]","[0.677279777438574, 0.6087, 0.6421]","[0.7693419417580636, 0.6506, 0.7937]","[0.7269261470838257, 0.5797, 0.7525]","[0.6307858474295769, 0.438, 0.7601]","[0.5767645174918571, 0.4677, 0.6426]","[0.8223205825402711, 0.724, 0.7486]","[0.8162400936456966, 0.8506, 0.6443]","[0.7547542857142857, 0.64, 0.7154]","[0.5792764169314338, 0.5909, 0.5175]","[0.6463409692581987, 0.6506, 0.5314]","[0.7894818806160746, 0.7452, 0.6956]"
9,"[0.8250038267258533, 0.8297, 0.6727]","[0.6790893200059086, 0.6087, 0.6421]","[0.771320708844346, 0.6626, 0.7836]","[0.7263870747029919, 0.587, 0.7496]","[0.6333858857550999, 0.5547, 0.6683]","[0.570543221990542, 0.5, 0.583]","[0.8218905780084867, 0.7132, 0.7543]","[0.8162400936456966, 0.8506, 0.6443]","[0.7574342857142857, 0.7599, 0.6069]","[0.5792764169314338, 0.5909, 0.5175]","[0.6429574801447945, 0.5542, 0.6581]","[0.7906031488950834, 0.5923, 0.835]"
10,"[0.8250038267258533, 0.8297, 0.6727]","[0.6759995568467182, 0.6087, 0.6342]","[0.7712936949592091, 0.6626, 0.7836]","[0.7265348012688935, 0.587, 0.7496]","[0.6267268261240702, 0.6569, 0.5239]","[0.5727918830151137, 0.4624, 0.6147]","[0.8232037655007622, 0.6953, 0.7816]","[0.817904993909866, 0.8441, 0.6553]","[0.7637485714285713, 0.73, 0.6891]","[0.5792764169314338, 0.5909, 0.5175]","[0.6432343724674483, 0.5662, 0.6379]","[0.7903150452400605, 0.6815, 0.7848]"
11,"[0.8250038267258533, 0.8297, 0.6727]","[0.6759995568467182, 0.6087, 0.6342]","[0.7712936949592091, 0.6626, 0.7836]","[0.7248372416080944, 0.6051, 0.7124]","[0.636316917234291, 0.6277, 0.5597]","[0.5734153753901086, 0.4624, 0.6096]","[0.8239118567956166, 0.7778, 0.6954]","[0.8184863248809655, 0.8441, 0.665]","[0.7633542857142857, 0.73, 0.6903]","[0.5792764169314338, 0.5909, 0.5175]","[0.6439232265384408, 0.5301, 0.6738]","[0.7904980299939265, 0.656, 0.7934]"
12,"[0.8250038267258533, 0.8297, 0.6727]","[0.6721465852577675, 0.6304, 0.6025]","[0.7712936949592091, 0.6626, 0.7836]","[0.7267291783292903, 0.5507, 0.7554]","[0.6388298520983224, 0.6423, 0.5668]","[0.5727032993989942, 0.4677, 0.6134]","[0.8250885757837927, 0.8243, 0.6523]","[0.8184863248809655, 0.8441, 0.665]","[0.7617885714285714, 0.71, 0.6926]","[0.5792764169314338, 0.5909, 0.5175]","[0.6421268031768329, 0.5542, 0.6547]","[0.7930753897185928, 0.6497, 0.8105]"
13,"[0.8250038267258533, 0.8297, 0.6727]","[0.6726266679797134, 0.5978, 0.6297]","[0.7712936949592091, 0.6626, 0.7836]","[0.7200711160871638, 0.5399, 0.7711]","[0.637636534675888, 0.6423, 0.5477]","[0.5702468075827576, 0.457, 0.6096]","[0.8234149054505006, 0.7634, 0.7184]","[0.8185021434107914, 0.8441, 0.665]","[0.7706171428571429, 0.65, 0.7429]","[0.5792764169314338, 0.5909, 0.5175]","[0.6402628451023825, 0.5422, 0.6648]","[0.8035444536153116, 0.6497, 0.8117]"
14,"[0.8250038267258533, 0.8297, 0.6727]","[0.6726266679797134, 0.5978, 0.6297]","[0.7712936949592091, 0.6626, 0.7836]","[0.7200400157575004, 0.5399, 0.7711]","[0.6408201661934044, 0.6277, 0.5943]","[0.5719878163457214, 0.3549, 0.711]","[0.8211181147777366, 0.7276, 0.7572]","[0.8184507331888574, 0.8441, 0.6541]","[0.7694628571428571, 0.65, 0.7406]","[0.5792764169314338, 0.5909, 0.5175]","[0.6359406234804689, 0.5783, 0.5785]","[0.8061101334620716, 0.656, 0.8191]"
15,"[0.8250038267258533, 0.8297, 0.6727]","[0.6731559899551923, 0.5978, 0.6365]","[0.7712936949592091, 0.6626, 0.7836]","[0.7204054446310465, 0.6268, 0.7096]","[0.6407069316934656, 0.6277, 0.5943]","[0.5771631437643949, 0.5161, 0.5741]","[0.8205954146582624, 0.6595, 0.8003]","[0.8201789075723303, 0.8441, 0.6553]","[0.7674171428571428, 0.63, 0.7577]","[0.5792764169314338, 0.5909, 0.5175]","[0.633354043978605, 0.5783, 0.5886]","[0.8067447401616495, 0.6178, 0.8325]"
16,"[0.8250038267258533, 0.8297, 0.6727]","[0.6731559899551923, 0.5978, 0.6365]","[0.7712936949592091, 0.6626, 0.7836]","[0.7206205552445522, 0.6087, 0.721]","[0.6354328171001515, 0.6277, 0.6062]","[0.5783828720171171, 0.4785, 0.597]","[0.8208451777695381, 0.7491, 0.7299]","[0.8201868168372431, 0.8441, 0.6553]","[0.7667657142857143, 0.59, 0.8011]","[0.5792764169314338, 0.5909, 0.5175]","[0.632003349721757, 0.5783, 0.5897]","[0.805148490181116, 0.7388, 0.731]"
