,Diag: Oppositional Defiant Disorder,Diag: Generalized Anxiety Disorder,Diag: ADHD-Combined Type,Diag: Autism Spectrum Disorder,Diag: Social Anxiety (Social Phobia),Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Specific Phobia,Diag: Language Disorder,Diag: Enuresis,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics
50,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
49,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
48,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
47,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
46,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
45,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
44,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
43,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
42,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
41,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
40,"0.8297,0.6727","0.8441,0.6553","0.7849,0.6896","0.5987,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.7226,0.4606","0.494,0.6569","0.4731,0.6008","0.5909,0.5175"
39,"0.8297,0.6727","0.8441,0.6553","0.7813,0.6896","0.5923,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.6934,0.5048","0.5542,0.6054","0.4731,0.6046","0.5909,0.5175"
38,"0.8297,0.6727","0.8441,0.6553","0.7921,0.6868","0.5923,0.846","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.6715,0.5322","0.5542,0.6054","0.4731,0.6046","0.5909,0.5175"
37,"0.8297,0.6727","0.8441,0.6553","0.7921,0.6868","0.6242,0.8252","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.6496,0.5394","0.5301,0.6155","0.4731,0.6046","0.5909,0.5175"
36,"0.8297,0.6727","0.8441,0.6553","0.7383,0.7299","0.5796,0.8484","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.6496,0.5394","0.5301,0.6143","0.4731,0.6046","0.5909,0.5175"
35,"0.8297,0.6727","0.8441,0.6553","0.7419,0.7256","0.5478,0.8631","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.6642,0.5263","0.506,0.6256","0.4731,0.6046","0.5909,0.5175"
34,"0.8297,0.6727","0.8441,0.6553","0.7455,0.7213","0.5478,0.8618","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.635,0.5453","0.5181,0.6457","0.4731,0.6046","0.5909,0.5175"
33,"0.8297,0.6727","0.8441,0.6553","0.7383,0.7284","0.5923,0.8398","0.66,0.7634","0.6626,0.7836","0.6377,0.671","0.6087,0.5968","0.635,0.5549","0.5181,0.6424","0.4731,0.6046","0.5909,0.5175"
