Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Oppositional Defiant Disorder,117.01,561.01,273.01,24.01,0.14,0.6954,0.3,0.959,0.7,0.041,1.0,1.0,0.8297,0.3273,0.1703,0.6727,1.0,1.0,2.535,0.2532,1,0.4407,0.3607,0.5024,0.2589999999999999,0.4,0.8250038267258533,469.0
Diag: Generalized Anxiety Disorder,130.01,538.01,283.01,24.01,0.16,0.6851,0.3148,0.9573,0.6852,0.0427,1.0,1.0,0.8441,0.3447,0.1559,0.6553,1.0,1.0,2.4488,0.2379,1,0.4586,0.3686,0.49940000000000007,0.2721,0.42,0.8201868168372431,512.0
Diag: ADHD-Combined Type,219.01,480.01,216.01,60.01,0.29,0.7169,0.5034,0.8889,0.4966,0.1111,1.0,1.0,0.7849,0.3104,0.2151,0.6896,1.0,1.0,2.5287,0.3119,1,0.6134,0.4315,0.4744999999999999,0.3923000000000001,0.45,0.8194186956700862,931.0
Diag: Autism Spectrum Disorder,94.01,692.01,126.01,63.01,0.16,0.8061,0.4273,0.9165,0.5727,0.0835,1.0,1.0,0.5987,0.154,0.4013,0.846,1.0,1.0,3.8877,0.4743,1,0.4987,0.391,0.4447000000000001,0.3437999999999999,0.23,0.8076401974678026,524.0
Diag: Social Anxiety (Social Phobia),67.01,660.01,215.01,33.01,0.1,0.7456,0.2376,0.9524,0.7624,0.0476,1.0,1.0,0.67,0.2457,0.33,0.7543,1.0,1.0,2.7269,0.4375,1,0.3508,0.2839,0.4243000000000001,0.18999999999999995,0.29,0.7809142857142858,334.0
Diag: No Diagnosis Given,47.01,741.01,151.01,36.01,0.09,0.8082,0.2374,0.9537,0.7626,0.0463,1.0,1.0,0.5662,0.1693,0.4338,0.8307,1.0,1.0,3.3444,0.5222,1,0.3345,0.2754,0.39690000000000003,0.19110000000000005,0.2,0.7730293370792587,276.0
Diag: ADHD-Inattentive Type,169.01,504.01,195.01,107.01,0.28,0.6902,0.4643,0.8249,0.5357,0.1751,1.0,1.0,0.6123,0.279,0.3877,0.721,1.0,1.0,2.1946,0.5377,1,0.5281,0.3105,0.33329999999999993,0.2891999999999999,0.37,0.7198300885322718,919.0
Diag: Specific Phobia,56.01,529.01,354.01,36.01,0.09,0.6,0.1366,0.9363,0.8634,0.0637,1.0,1.0,0.6087,0.4009,0.3913,0.5991,1.0,1.0,1.5183,0.6531,1,0.2231,0.123,0.20779999999999998,0.07289999999999996,0.42,0.6732667782756413,306.0
Diag: Language Disorder,99.01,386.01,452.01,38.01,0.14,0.4974,0.1797,0.9104,0.8203,0.0896,1.0,1.0,0.7226,0.5394,0.2774,0.4606,1.0,1.0,1.3396,0.6023,1,0.2878,0.1284,0.18320000000000003,0.09010000000000007,0.57,0.6323798407748723,458.0
Diag: Enuresis,41.01,586.01,306.01,42.01,0.09,0.6431,0.1182,0.9331,0.8818,0.0669,1.0,1.0,0.494,0.3431,0.506,0.6569,1.0,1.0,1.4398,0.7703,1,0.1908,0.088,0.15090000000000003,0.05130000000000012,0.36,0.6178818412664109,278.0
Diag: Specific Learning Disorder with Impairment in Mathematics,42.01,544.01,343.01,46.01,0.09,0.601,0.1091,0.922,0.8909,0.078,1.0,1.0,0.4773,0.3867,0.5227,0.6133,1.0,1.0,1.2343,0.8523,1,0.1776,0.0531,0.09060000000000001,0.031100000000000128,0.39,0.5799554166239622,294.0
Diag: Specific Learning Disorder with Impairment in Reading,88.01,474.01,315.01,98.01,0.19,0.5764,0.2184,0.8287,0.7816,0.1713,1.0,1.0,0.4731,0.3992,0.5269,0.6008,1.0,1.0,1.1851,0.877,1,0.2988,0.0589,0.07390000000000008,0.04709999999999992,0.41,0.5794492824727094,619.0
