,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.007542207713976386,
                                    l1_ratio=0.4095505451485456,
                                    penalty='elasticnet', solver='saga'))])",0.8498190771610319,0.023855452315288482,469,0.8259636248457434
1,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0013298844912762431,
                                    class_weight='balanced',
                                    l1_ratio=0.06396169816561925,
                                    penalty='elasticnet', solver='saga'))])",0.6861450864630892,0.010265119804368818,306,0.6758799666587204
2,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.06547686961420368,
                                    l1_ratio=0.31998391687076655, penalty='l1',
                                    solver='saga'))])",0.8305695708523517,0.019721980251137063,276,0.8108475906012147
3,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.17616310274511046,
                                    l1_ratio=0.978327884117157, penalty='l1',
                                    solver='saga'))])",0.7365185292728688,0.007441959521823731,919,0.7290765697510451
4,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.03220644385704411,
                                    l1_ratio=0.4921825763311486,
                                    solver='saga'))])",0.6184188531128537,0.007203294800509048,458,0.6112155583123446
5,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0013618562227630717,
                                    class_weight='balanced',
                                    l1_ratio=0.04998347522290747,
                                    solver='saga'))])",0.601903663187375,0.00886745151788318,619,0.5930362116694918
6,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.005659197647323216,
                                    class_weight='balanced',
                                    l1_ratio=0.6240887535492324,
                                    solver='saga'))])",0.8289175628967113,0.006835036435349986,931,0.8220825264613613
7,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.010962560073984906,
                                    l1_ratio=0.21601944384221505,
                                    penalty='elasticnet', solver='saga'))])",0.8107108676399166,0.02004825722575159,512,0.7906626104141651
8,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.006408218105186922,
                                    class_weight='balanced',
                                    l1_ratio=0.04344543462409656,
                                    penalty='elasticnet', solver='saga'))])",0.7518109636135711,0.0051646147479117955,334,0.7466463488656594
9,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.06220359266938406,
                                    l1_ratio=0.020452676692313432, penalty='l1',
                                    solver='saga'))])",0.6015606343502884,0.01791211462182834,294,0.5836485197284601
10,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.00028109908151302705,
                                    class_weight='balanced',
                                    l1_ratio=0.2543547741537996,
                                    solver='saga'))])",0.5837828196209699,0.016814436762157006,278,0.5669683828588129
11,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.002395253694684626,
                                    class_weight='balanced',
                                    l1_ratio=0.38437224919032087,
                                    solver='saga'))])",0.7875762951888525,0.015527498137519996,524,0.7720487970513326
