,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.5671930540673844, 0.3475, 0.711]","[0.6047749766113546, 0.6847, 0.4972]","[0.5935220703441569, 0.7228, 0.4529]","[0.5904060666376397, 0.7645, 0.3891]","[0.5989625977736355, 0.5985, 0.5978]","[0.5606899982283277, 0.6828, 0.3714]","[0.6565576978535822, 0.7455, 0.5029]","[0.6255398073303067, 0.5065, 0.6955]","[0.6779085714285714, 0.74, 0.5554]","[0.5332133340166035, 0.3409, 0.7024]","[0.5337200821222108, 0.6024, 0.4361]","[0.7207574790151526, 0.8025, 0.5501]"
2,"[0.6692986036702553, 0.5886, 0.6523]","[0.6241383130631739, 0.6195, 0.5968]","[0.6633529634231995, 0.506, 0.7186]","[0.6172223258899878, 0.6449, 0.5508]","[0.628503736738498, 0.3358, 0.7828]","[0.5570989547133298, 0.5108, 0.6096]","[0.7275213199851687, 0.6953, 0.6638]","[0.6680797886644415, 0.6753, 0.5737]","[0.7077428571428572, 0.62, 0.7029]","[0.5326944757609922, 0.5682, 0.4769]","[0.4725876600572695, 0.506, 0.4215]","[0.7744771307990594, 0.7133, 0.7335]"
3,"[0.665101960984404, 0.6808, 0.6103]","[0.6096619725244965, 0.5435, 0.6535]","[0.6922578205197472, 0.6867, 0.6121]","[0.6456635773672535, 0.6811, 0.5465]","[0.6479147431318921, 0.4088, 0.747]","[0.5692042465622743, 0.4624, 0.6299]","[0.7465239154616241, 0.6702, 0.7126]","[0.6756014995966274, 0.6104, 0.6845]","[0.7492285714285714, 0.71, 0.6309]","[0.5223044993338116, 0.5114, 0.5062]","[0.47846993354584255, 0.4097, 0.6166]","[0.800694563406164, 0.6433, 0.8105]"
4,"[0.6702042621222171, 0.6099, 0.6427]","[0.6034516716726575, 0.6413, 0.5708]","[0.6889756334756065, 0.6867, 0.6031]","[0.6663297464286455, 0.5543, 0.691]","[0.6362820758496942, 0.4745, 0.7339]","[0.5608910148956756, 0.5591, 0.5387]","[0.754173876323487, 0.681, 0.7284]","[0.6819091383646804, 0.6428, 0.6468]","[0.7582571428571427, 0.73, 0.6514]","[0.533424720713334, 0.3069, 0.6967]","[0.483994273056351, 0.3976, 0.6401]","[0.8468222945509477, 0.6688, 0.8472]"
5,"[0.6929987924553974, 0.5674, 0.6954]","[0.6043872174897829, 0.6304, 0.5719]","[0.7171781295585931, 0.6747, 0.6581]","[0.6680843233604943, 0.7282, 0.5265]","[0.6380154347333764, 0.5036, 0.6957]","[0.5731189609823242, 0.4032, 0.6515]","[0.7564706669962511, 0.6595, 0.7629]","[0.6785279276144076, 0.5974, 0.6918]","[0.7583542857142856, 0.7899, 0.5897]","[0.5356410782002665, 0.3864, 0.6437]","[0.4932600356583284, 0.4217, 0.6188]","[0.8473595689346395, 0.6242, 0.8741]"
6,"[0.6999889450142014, 0.7234, 0.5875]","[0.6050273277857108, 0.6521, 0.5221]","[0.7171781295585931, 0.6747, 0.6581]","[0.6667832929029048, 0.6775, 0.5622]","[0.6331027995052523, 0.5182, 0.6504]","[0.5634429044523489, 0.586, 0.5247]","[0.7589476990895232, 0.6344, 0.7715]","[0.6883077336792318, 0.5649, 0.7198]","[0.7715371428571429, 0.72, 0.6571]","[0.5134518807010352, 0.5227, 0.5006]","[0.4968798962666811, 0.4458, 0.5774]","[0.8627575413078349, 0.8216, 0.7408]"
7,"[0.7096833171760464, 0.5957, 0.6787]","[0.6034578265793491, 0.6521, 0.5187]","[0.7190555945756119, 0.6747, 0.676]","[0.6742162716924799, 0.5109, 0.7453]","[0.6466909394979357, 0.5839, 0.6432]","[0.5726453793423006, 0.457, 0.6515]","[0.7594034523956659, 0.6236, 0.7873]","[0.6803233307496401, 0.526, 0.715]","[0.7769199999999999, 0.73, 0.68]","[0.502184329199549, 0.5, 0.5479]","[0.4939488897293209, 0.3374, 0.667]","[0.8624071449706446, 0.8025, 0.7531]"
8,"[0.7139905097198836, 0.695, 0.6307]","[0.6032731793786006, 0.6521, 0.5176]","[0.7295639958938894, 0.6144, 0.7152]","[0.6770308515270261, 0.6956, 0.5536]","[0.6436597390380293, 0.6131, 0.648]","[0.5764272183381713, 0.3817, 0.7262]","[0.7576396613521197, 0.6667, 0.7169]","[0.689375484442476, 0.5909, 0.6809]","[0.7865657142857143, 0.65, 0.7474]","[0.5054255918827508, 0.2501, 0.7238]","[0.49866281268572044, 0.3374, 0.6525]","[0.8641357669007833, 0.8089, 0.7494]"
9,"[0.715206558157729, 0.6028, 0.6799]","[0.6060798168299768, 0.6413, 0.5515]","[0.7281592738667675, 0.7108, 0.648]","[0.6771371109867099, 0.5688, 0.6924]","[0.6434027838266292, 0.5328, 0.6611]","[0.5763931477165869, 0.5645, 0.5703]","[0.7631421744324971, 0.638, 0.7759]","[0.6848197478526346, 0.6493, 0.5944]","[0.7823485714285714, 0.69, 0.704]","[0.5130803525673875, 0.3637, 0.6888]","[0.4978118753039062, 0.4699, 0.5549]","[0.8612119041315622, 0.8089, 0.7445]"
10,"[0.7162780413966698, 0.695, 0.6271]","[0.6056674380816387, 0.6521, 0.5368]","[0.722884812793776, 0.6626, 0.685]","[0.6742033132217868, 0.5833, 0.6509]","[0.644726756441301, 0.6277, 0.5764]","[0.5759706720089401, 0.3602, 0.7174]","[0.7685210933959543, 0.6308, 0.7873]","[0.6853496686018001, 0.6299, 0.6127]","[0.7841942857142856, 0.7699, 0.6571]","[0.5110177308598954, 0.3523, 0.6505]","[0.49877086822626826, 0.5542, 0.4439]","[0.8610211327924252, 0.8344, 0.7237]"
