,Diag: Autism Spectrum Disorder,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: No Diagnosis Given,Diag: Generalized Anxiety Disorder,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis
50,"0.7707,0.8435","0.47,0.856","0.6559,0.7399","0.5603,0.7278","0.6385,0.7007","0.6363,0.6955","0.6884,0.5951","0.5182,0.7088","0.6521,0.5277","0.4516,0.6109","0.3637,0.6922","0.5422,0.4608"
49,"0.777,0.8301","0.46,0.856","0.6559,0.7399","0.5603,0.7278","0.6385,0.7007","0.6363,0.6955","0.6884,0.5951","0.5401,0.7005","0.6521,0.5277","0.4301,0.6337","0.4659,0.5772","0.5422,0.4608"
48,"0.7898,0.8325","0.47,0.8514","0.6559,0.7399","0.5603,0.7278","0.6385,0.7007","0.6363,0.6931","0.6884,0.5951","0.635,0.6587","0.6521,0.5277","0.4301,0.6337","0.3864,0.6415","0.5422,0.4619"
47,"0.8025,0.8276","0.47,0.8537","0.6559,0.7399","0.5603,0.7278","0.6385,0.7007","0.6623,0.6772","0.6884,0.5951","0.635,0.6575","0.6521,0.5277","0.4194,0.6426","0.3296,0.708","0.5422,0.4608"
46,"0.8089,0.8276","0.48,0.8526","0.6559,0.7399","0.5603,0.7278","0.6385,0.7007","0.6623,0.6772","0.6884,0.5951","0.6131,0.6587","0.6521,0.5277","0.4462,0.6223","0.3978,0.6099","0.5422,0.4608"
45,"0.7579,0.8411","0.48,0.8594","0.6559,0.7399","0.5603,0.7266","0.6385,0.7007","0.6688,0.676","0.6884,0.5951","0.6204,0.648","0.6521,0.5277","0.4032,0.6667","0.3978,0.6065","0.5422,0.4608"
44,"0.828,0.8068","0.47,0.8606","0.6846,0.7241","0.5461,0.7326","0.6385,0.7007","0.6688,0.6699","0.6884,0.598","0.6277,0.642","0.6521,0.5277","0.414,0.6477","0.3069,0.7441","0.5422,0.4608"
43,"0.828,0.7909","0.46,0.8686","0.6846,0.7241","0.5674,0.7134","0.6385,0.7007","0.6558,0.6918","0.6703,0.6137","0.5474,0.6933","0.6521,0.5277","0.4194,0.64","0.4318,0.5964","0.5422,0.4608"
42,"0.828,0.8081","0.49,0.8571","0.6846,0.7241","0.5674,0.7134","0.6385,0.7007","0.539,0.754","0.6703,0.6137","0.4964,0.7196","0.6521,0.5277","0.4247,0.6286","0.3978,0.6415","0.5422,0.4608"
41,"0.828,0.8056","0.49,0.8571","0.6523,0.7442","0.5674,0.7134","0.6385,0.7007","0.5519,0.7527","0.6811,0.6009","0.5036,0.7052","0.6521,0.5277","0.4247,0.6274","0.3864,0.6607","0.5422,0.4608"
40,"0.8216,0.8191","0.47,0.8606","0.6774,0.7227","0.5319,0.7338","0.6385,0.7007","0.5584,0.7454","0.6811,0.6009","0.438,0.7542","0.6521,0.5277","0.4247,0.6337","0.3637,0.6979","0.5422,0.4608"
39,"0.777,0.8374","0.47,0.8606","0.6774,0.7227","0.4823,0.789","0.6385,0.7007","0.5649,0.7272","0.692,0.5908","0.5474,0.6933","0.6521,0.5277","0.4194,0.6388","0.3523,0.7103","0.5422,0.4608"
38,"0.7961,0.8337","0.46,0.8663","0.6774,0.7227","0.4397,0.8034","0.6385,0.7007","0.5519,0.743","0.692,0.5908","0.4307,0.7446","0.6521,0.5277","0.4731,0.5906","0.4091,0.6753","0.5422,0.4608"
37,"0.777,0.8398","0.51,0.8491","0.681,0.7155","0.4397,0.8034","0.6385,0.7007","0.5454,0.7393","0.692,0.5908","0.6496,0.6277","0.6521,0.5277","0.4785,0.5855","0.4091,0.6855","0.5422,0.4608"
36,"0.7898,0.8374","0.48,0.8674","0.6882,0.7126","0.4752,0.7914","0.6385,0.7007","0.539,0.7393","0.6558,0.6295","0.6569,0.6229","0.6521,0.5277","0.4301,0.6413","0.4091,0.6866","0.5422,0.4608"
35,"0.8025,0.8215","0.49,0.8674","0.6846,0.7098","0.4752,0.7914","0.6867,0.6805","0.539,0.7442","0.7065,0.5966","0.6788,0.611","0.6521,0.5277","0.457,0.6096","0.3409,0.7429","0.5422,0.4608"
34,"0.8216,0.8142","0.48,0.8548","0.6846,0.7098","0.4965,0.7746","0.6747,0.685","0.5714,0.7186","0.6993,0.6009","0.5693,0.685","0.6521,0.5277","0.4409,0.6248","0.3182,0.752","0.5422,0.4619"
33,"0.8025,0.824","0.43,0.8674","0.6846,0.7098","0.4965,0.7746","0.6385,0.6973","0.6234,0.6857","0.6993,0.6023","0.6715,0.6289","0.6521,0.5277","0.4355,0.6236","0.3182,0.7497","0.5422,0.4608"
32,"0.7898,0.8374","0.42,0.8777","0.6989,0.6896","0.5106,0.7662","0.6385,0.6951","0.5844,0.704","0.6956,0.6037","0.6788,0.6277","0.6521,0.5277","0.4301,0.621","0.4091,0.664","0.5422,0.4608"
31,"0.7834,0.8313","0.45,0.8766","0.6989,0.6853","0.5674,0.711","0.6385,0.6951","0.5974,0.6943","0.7029,0.5994","0.6642,0.6217","0.6521,0.5277","0.4355,0.6337","0.4091,0.6618","0.5301,0.472"
30,"0.8407,0.7995","0.8099,0.6766","0.7061,0.6853","0.5745,0.7122","0.6506,0.6951","0.6169,0.6784","0.6993,0.6023","0.562,0.6873","0.6521,0.5277","0.4086,0.6502","0.4205,0.6257","0.5301,0.472"
29,"0.7834,0.8166","0.7699,0.704","0.6917,0.7083","0.539,0.7386","0.6506,0.6906","0.6623,0.6565","0.6993,0.6023","0.562,0.6862","0.6521,0.5277","0.3549,0.7224","0.4091,0.6223","0.5301,0.4709"
