,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.5831377451230505, 0.4894, 0.6379]","[0.4950145255797922, 0.5217, 0.4462]","[0.7244313577178669, 0.6506, 0.6603]","[0.652155771184508, 0.8442, 0.4421]","[0.5267973799278785, 0.6204, 0.4105]","[0.5502200962154353, 0.5968, 0.4613]","[0.7934845301363657, 0.8208, 0.6681]","[0.5285722194979199, 0.526, 0.5018]","[0.5570571428571429, 0.61, 0.4766]","[0.5862201496361586, 0.4432, 0.6888]","[0.6167067372629531, 0.6385, 0.5572]","[0.7154781742014856, 0.7579, 0.5782]"
2,"[0.6737376056601526, 0.6879, 0.5743]","[0.5038899010291004, 0.5217, 0.4881]","[0.7298476416878276, 0.6265, 0.6603]","[0.6743406730111339, 0.8007, 0.4936]","[0.594272076372315, 0.5693, 0.5776]","[0.5819705084699565, 0.7043, 0.4499]","[0.8182703003337041, 0.7598, 0.7486]","[0.6014165493459038, 0.5909, 0.6285]","[0.5669142857142857, 0.63, 0.464]","[0.5862201496361586, 0.4432, 0.6888]","[0.5971014101248042, 0.7108, 0.4249]","[0.7185227290424058, 0.7133, 0.6161]"
3,"[0.6800176879772777, 0.5745, 0.6547]","[0.5000615490669161, 0.4348, 0.5402]","[0.7390053487492572, 0.7469, 0.5852]","[0.681669984035164, 0.7464, 0.568]","[0.6015757016183824, 0.5693, 0.599]","[0.5959190209466181, 0.6828, 0.493]","[0.8217901577884892, 0.8208, 0.694]","[0.6140397361469225, 0.5519, 0.6382]","[0.5592228571428571, 0.33, 0.7634]","[0.5862201496361586, 0.4432, 0.6888]","[0.6071168080393321, 0.5783, 0.5628]","[0.715116097986389, 0.7197, 0.621]"
4,"[0.6757104954334404, 0.695, 0.5731]","[0.501070953764341, 0.4348, 0.564]","[0.7432127613593387, 0.6626, 0.6614]","[0.7086702535713544, 0.7065, 0.6009]","[0.6141011793808686, 0.5547, 0.6325]","[0.5892854709241315, 0.6559, 0.4994]","[0.8302512050426398, 0.7993, 0.704]","[0.6109472135659711, 0.6623, 0.5725]","[0.5592228571428571, 0.33, 0.7634]","[0.5862201496361586, 0.4432, 0.6888]","[0.6057390998973473, 0.6385, 0.5101]","[0.7096771681746687, 0.7516, 0.5623]"
5,"[0.687764681871524, 0.6808, 0.5671]","[0.5167413462011915, 0.5326, 0.487]","[0.7390256091631098, 0.6867, 0.6491]","[0.7103263461259356, 0.7572, 0.5451]","[0.5903045137013746, 0.5401, 0.5895]","[0.5644479877890892, 0.6075, 0.4968]","[0.8333462077205125, 0.8423, 0.6624]","[0.6082541088631223, 0.6623, 0.5396]","[0.5496114285714286, 0.44, 0.6183]","[0.5862201496361586, 0.4432, 0.6888]","[0.6109055054297909, 0.5181, 0.639]","[0.7213064332767508, 0.7898, 0.5391]"
6,"[0.693037059713931, 0.7021, 0.5504]","[0.5326825545324733, 0.5652, 0.4813]","[0.7362364255227187, 0.6506, 0.6547]","[0.7211881362609109, 0.7391, 0.5536]","[0.5796778913994042, 0.5328, 0.5967]","[0.5809552039467408, 0.586, 0.5247]","[0.8343143616363861, 0.7778, 0.7672]","[0.6028520809275986, 0.6104, 0.581]","[0.5646057142857144, 0.46, 0.6446]","[0.5862201496361586, 0.4432, 0.6888]","[0.6208263547463397, 0.5783, 0.583]","[0.7264689393113544, 0.7961, 0.5318]"
7,"[0.69961902818171, 0.617, 0.6391]","[0.5251551036486287, 0.3805, 0.6636]","[0.732866443351883, 0.5181, 0.7556]","[0.7242048682382699, 0.7174, 0.5923]","[0.5788721843806073, 0.5474, 0.58]","[0.5850198291017621, 0.5806, 0.5602]","[0.8349246075886787, 0.7778, 0.7658]","[0.586847683376307, 0.5974, 0.5627]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6211842887244043, 0.6144, 0.565]","[0.7264027533365517, 0.6688, 0.6736]"
8,"[0.7035648077282854, 0.5957, 0.6487]","[0.5079829139790241, 0.5761, 0.4043]","[0.7355408179804419, 0.5301, 0.7478]","[0.7285718728618524, 0.7138, 0.5894]","[0.5642039614654287, 0.5401, 0.5489]","[0.5741615220028073, 0.5591, 0.5653]","[0.835540003295843, 0.767, 0.7744]","[0.5841466694085451, 0.6169, 0.5347]","[0.5697371428571429, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198741152952618, 0.6024, 0.5448]","[0.7273488234469655, 0.777, 0.5538]"
9,"[0.705023215470177, 0.7163, 0.5456]","[0.5073243389630213, 0.5326, 0.4258]","[0.7343116862067102, 0.6747, 0.6569]","[0.7367460761750741, 0.7246, 0.6209]","[0.5642431580230999, 0.5036, 0.6062]","[0.57037286888262, 0.5484, 0.5488]","[0.835540003295843, 0.767, 0.7744]","[0.5966235348086749, 0.3961, 0.7332]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6194216327192177, 0.6506, 0.5258]","[0.7258148661485992, 0.7579, 0.5831]"
10,"[0.7066687075871217, 0.6879, 0.5767]","[0.5075274508838447, 0.5761, 0.4168]","[0.7343724674482683, 0.6506, 0.676]","[0.7399831021542161, 0.7645, 0.5637]","[0.5642257373308015, 0.4818, 0.599]","[0.5721581694536435, 0.5269, 0.564]","[0.835540003295843, 0.767, 0.7744]","[0.59289827103469, 0.4416, 0.7186]","[0.5697371428571429, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6193540980063753, 0.6385, 0.5112]","[0.7281469484372325, 0.707, 0.6369]"
11,"[0.706800517033182, 0.695, 0.5731]","[0.5045053916982618, 0.4131, 0.6161]","[0.7315832838078773, 0.6144, 0.7007]","[0.7395969397275611, 0.8079, 0.525]","[0.5657152065223071, 0.562, 0.5561]","[0.5605264592447224, 0.5645, 0.4981]","[0.835540003295843, 0.767, 0.7744]","[0.5908695445845262, 0.4546, 0.7016]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6182532821870441, 0.5783, 0.5594]","[0.7291747776929904, 0.7261, 0.6149]"
