,Diag: ADHD-Combined Type,Diag: ADHD-Inattentive Type,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Social Anxiety (Social Phobia),Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Phobia
50,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
49,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
48,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
47,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
46,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
45,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.0001,1.0","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
44,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
43,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
42,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
41,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
40,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
39,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
38,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
37,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
36,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
35,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
34,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
33,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
32,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
31,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
30,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
29,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
28,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
27,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
26,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
25,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
24,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
23,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
22,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
21,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
20,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
