,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.7285575794683402, 0.7305, 0.7266]","[0.6736606923039048, 0.5761, 0.7712]","[0.6624682586849641, 0.6265, 0.6984]","[0.5985802699508616, 0.9239, 0.2733]","[0.5802440638990994, 0.3431, 0.8174]","[0.5099860991863935, 0.6613, 0.3587]","[0.7310746508466197, 0.896, 0.5661]","[0.7189284527895978, 0.5584, 0.8794]","[0.7224285714285714, 0.75, 0.6949]","[0.46289202623757303, 0.7386, 0.1872]","[0.7343657139769841, 0.5662, 0.9025]","[0.7176155918583463, 0.6369, 0.7983]"
2,"[0.774767420106468, 0.6383, 0.789]","[0.6948151066029837, 0.6195, 0.735]","[0.6850518666594629, 0.6747, 0.6614]","[0.6385934357570857, 0.7935, 0.4564]","[0.6227679737992787, 0.3431, 0.8174]","[0.5028789675238834, 0.6236, 0.384]","[0.7485966917974706, 0.8351, 0.6307]","[0.7525428286695035, 0.6299, 0.8575]","[0.7379428571428571, 0.7999, 0.6446]","[0.4559482935328482, 0.2501, 0.7057]","[0.7545113188178725, 0.5903, 0.898]","[0.7717907588806006, 0.8152, 0.6186]"
3,"[0.8193827916390293, 0.8368, 0.7182]","[0.711962676645822, 0.6195, 0.735]","[0.6970055108325679, 0.6987, 0.6345]","[0.6409415106466796, 0.779, 0.4721]","[0.6231860704144383, 0.6204, 0.5728]","[0.512364228572986, 0.6236, 0.384]","[0.7785038932146828, 0.7849, 0.7112]","[0.7649959662748944, 0.6558, 0.8465]","[0.7536628571428572, 0.8199, 0.6149]","[0.488143128010659, 0.625, 0.3766]","[0.778776541142147, 0.6626, 0.8722]","[0.7773464874713844, 0.6815, 0.7763]"
4,"[0.817941391567597, 0.8368, 0.7194]","[0.730341228026983, 0.663, 0.718]","[0.6941690528931871, 0.6506, 0.6816]","[0.6425146689888246, 0.7717, 0.4764]","[0.6362341689458738, 0.6131, 0.5919]","[0.519454324924704, 0.6075, 0.4081]","[0.7820340501792113, 0.7993, 0.6954]","[0.7796083332015123, 0.7143, 0.7686]","[0.7722685714285713, 0.7599, 0.6697]","[0.4854655631854053, 0.3864, 0.5626]","[0.7825382246474688, 0.6265, 0.8912]","[0.8050472645725943, 0.7898, 0.7164]"
5,"[0.8210197799207444, 0.8368, 0.7122]","[0.7331109360382096, 0.6739, 0.6852]","[0.7021178885947378, 0.6867, 0.6368]","[0.6885612987497668, 0.8043, 0.4421]","[0.6275673745274638, 0.6058, 0.6002]","[0.5244524851111384, 0.543, 0.4816]","[0.7895990400856919, 0.7563, 0.727]","[0.7824003037157727, 0.6688, 0.8453]","[0.7757200000000001, 0.7699, 0.6674]","[0.5428282258891052, 0.6136, 0.4882]","[0.7825382246474688, 0.6265, 0.8912]","[0.8085512279444973, 0.8089, 0.6858]"
6,"[0.8283033147949725, 0.8226, 0.7266]","[0.7329201339307696, 0.6847, 0.6716]","[0.7052447457993407, 0.6626, 0.6525]","[0.6930423379154484, 0.8116, 0.4378]","[0.6314129923523161, 0.6569, 0.5477]","[0.5231986862368317, 0.5376, 0.4867]","[0.7952534709347836, 0.7957, 0.704]","[0.785828970055523, 0.7402, 0.7284]","[0.7761885714285714, 0.58, 0.7943]","[0.5305613918212566, 0.6363, 0.4431]","[0.7794383813280026, 0.6265, 0.8912]","[0.8225320417983897, 0.8025, 0.698]"
7,"[0.8283033147949725, 0.8226, 0.7266]","[0.740084445319809, 0.7499, 0.6478]","[0.7168337025230969, 0.6626, 0.6659]","[0.7140480189090004, 0.6522, 0.6638]","[0.6291787885650576, 0.6131, 0.6122]","[0.5245649181623669, 0.5108, 0.5133]","[0.794267292876859, 0.81, 0.6853]","[0.7966369805590268, 0.7078, 0.7868]","[0.7932914285714285, 0.73, 0.7486]","[0.5342318335553962, 0.6022, 0.4611]","[0.7659584526446594, 0.6265, 0.8856]","[0.8213134412034946, 0.7898, 0.7139]"
8,"[0.8326487745973433, 0.8156, 0.729]","[0.739764390171845, 0.7717, 0.6342]","[0.7360540817980442, 0.6747, 0.6704]","[0.7156911529928885, 0.6123, 0.6896]","[0.6347185687159209, 0.6058, 0.605]","[0.5448437521294138, 0.5538, 0.4867]","[0.794905862480946, 0.7706, 0.7256]","[0.7969968521125645, 0.7208, 0.7625]","[0.7967600000000001, 0.68, 0.7589]","[0.5361471251409246, 0.6022, 0.4645]","[0.7643308660651575, 0.6265, 0.8879]","[0.8218701820503638, 0.7961, 0.7213]"
9,"[0.8326487745973433, 0.8156, 0.729]","[0.7424910138362302, 0.7717, 0.5821]","[0.7489869793073639, 0.6265, 0.7152]","[0.7158285127822355, 0.6485, 0.6566]","[0.6332770064282355, 0.6058, 0.6038]","[0.5540462270193658, 0.4731, 0.6096]","[0.8040235034812344, 0.8172, 0.7026]","[0.7945528892544728, 0.7532, 0.7113]","[0.7969085714285714, 0.68, 0.7531]","[0.5393051142769295, 0.5909, 0.4961]","[0.7630747204062889, 0.6144, 0.8868]","[0.8223529503371592, 0.8025, 0.7188]"
10,"[0.8326487745973433, 0.8156, 0.729]","[0.740466049534689, 0.7825, 0.6036]","[0.7435571883948349, 0.6265, 0.722]","[0.7179226016462441, 0.7319, 0.6066]","[0.6301412818145394, 0.6204, 0.5907]","[0.5572829360698857, 0.5645, 0.4753]","[0.8063949655996374, 0.8459, 0.6782]","[0.7979499185345713, 0.7337, 0.7564]","[0.7957485714285716, 0.75, 0.7417]","[0.5653505175771242, 0.5454, 0.5693]","[0.7652358312172456, 0.6747, 0.8408]","[0.8220843131453133, 0.8216, 0.6858]"
