,Diag: Oppositional Defiant Disorder,Diag: Autism Spectrum Disorder,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: No Diagnosis Given,Diag: Specific Phobia,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics
50,"0.8156,0.729","0.8152,0.7127","0.8136,0.6896","0.7143,0.8356","0.66,0.7874","0.6385,0.8397","0.6747,0.7332","0.7282,0.6251","0.7572,0.5966","0.6715,0.5442","0.4892,0.654","0.4773,0.5772"
49,"0.8156,0.729","0.8152,0.7127","0.8208,0.6839","0.7143,0.8343","0.66,0.7886","0.6385,0.8397","0.6867,0.7332","0.7282,0.6251","0.7572,0.5966","0.6715,0.5489","0.457,0.6667","0.4432,0.6054"
48,"0.8156,0.729","0.8152,0.7127","0.8243,0.6853","0.7013,0.838","0.69,0.7863","0.6385,0.8386","0.6867,0.7332","0.7173,0.6489","0.7572,0.5966","0.6058,0.5955","0.5108,0.6109","0.5,0.5761"
47,"0.8156,0.729","0.8152,0.7127","0.8243,0.6825","0.7078,0.8368","0.69,0.7851","0.6385,0.8341","0.6867,0.7265","0.7282,0.6251","0.7572,0.5966","0.6058,0.5943","0.5,0.6198","0.5114,0.5547"
46,"0.8156,0.729","0.8152,0.7127","0.8243,0.6796","0.7078,0.8368","0.69,0.7851","0.6385,0.8408","0.6506,0.7433","0.7173,0.6489","0.7536,0.5966","0.5985,0.5883","0.5,0.6198","0.5114,0.5547"
45,"0.8156,0.729","0.8152,0.7127","0.8172,0.6882","0.7078,0.8343","0.7,0.7657","0.6506,0.8397","0.6506,0.7444","0.7173,0.6478","0.7536,0.5966","0.6058,0.5835","0.4731,0.6591","0.5227,0.5468"
44,"0.8156,0.729","0.8152,0.7127","0.8136,0.6968","0.7143,0.827","0.68,0.7863","0.6506,0.8374","0.6506,0.7444","0.7173,0.6535","0.7536,0.5966","0.6423,0.5597","0.4839,0.6451","0.5341,0.5321"
43,"0.8156,0.729","0.8152,0.7127","0.8136,0.6954","0.7078,0.8295","0.68,0.7863","0.6506,0.8285","0.6506,0.7433","0.7282,0.6251","0.7572,0.5966","0.5839,0.6098","0.4839,0.6515","0.5,0.5705"
42,"0.8156,0.729","0.8152,0.7127","0.81,0.6968","0.7013,0.8368","0.68,0.7783","0.6024,0.8733","0.6506,0.7309","0.7282,0.6319","0.7536,0.5966","0.5255,0.6241","0.4839,0.6489","0.5454,0.5287"
41,"0.8156,0.729","0.8152,0.7127","0.81,0.6983","0.7143,0.8283","0.69,0.7657","0.6506,0.8285","0.6506,0.7298","0.7282,0.6251","0.7536,0.5966","0.5401,0.6205","0.4839,0.6502","0.4546,0.5829"
