Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Oppositional Defiant Disorder,115.01,608.01,226.01,26.01,0.14,0.7415,0.3373,0.959,0.6627,0.041,1.0,1.0,0.8156,0.271,0.1844,0.729,1.0,1.0,3.0096,0.2529,1,0.4772,0.4016,0.5446,0.2963,0.35,0.8326572784325731,469.0
Diag: Autism Spectrum Disorder,129.01,558.01,260.01,28.01,0.16,0.7046,0.3316,0.9522,0.6684,0.0478,1.0,1.0,0.8216,0.3179,0.1784,0.6821,1.0,1.0,2.5845,0.2615,1,0.4725,0.3781,0.5037,0.28380000000000005,0.4,0.82079563328298,524.0
Diag: Generalized Anxiety Disorder,110.01,670.01,151.01,44.01,0.16,0.8,0.4215,0.9384,0.5785,0.0616,1.0,1.0,0.7143,0.1839,0.2857,0.8161,1.0,1.0,3.8842,0.3501,1,0.5302,0.4368,0.5304000000000002,0.3599000000000001,0.27,0.816742331967667,512.0
Diag: ADHD-Combined Type,229.01,470.01,226.01,50.01,0.29,0.7169,0.5033,0.9038,0.4967,0.0962,1.0,1.0,0.8208,0.3247,0.1792,0.6753,1.0,1.0,2.5279,0.2654,1,0.624,0.4494,0.4961,0.4071,0.47,0.8148122399373791,931.0
Diag: Social Anxiety (Social Phobia),69.01,669.01,206.01,31.01,0.1,0.7569,0.2509,0.9557,0.7491,0.0443,1.0,1.0,0.69,0.2354,0.31,0.7646,1.0,1.0,2.9312,0.4054,1,0.368,0.3065,0.4545999999999999,0.2065999999999999,0.28,0.7969599999999999,334.0
Diag: No Diagnosis Given,55.01,667.01,225.01,28.01,0.09,0.7405,0.1965,0.9597,0.8035,0.0403,1.0,1.0,0.6626,0.2522,0.3374,0.7478,1.0,1.0,2.6273,0.4512,1,0.3031,0.2531,0.4104000000000001,0.15620000000000012,0.29,0.7715840942244314,276.0
Diag: Enuresis,48.01,786.01,106.01,35.01,0.09,0.8554,0.3117,0.9574,0.6883,0.0426,1.0,1.0,0.5783,0.1188,0.4217,0.8812,1.0,1.0,4.8678,0.4786,1,0.4051,0.3516,0.4595,0.2690999999999999,0.16,0.7686328272732185,278.0
Diag: Specific Phobia,67.01,546.01,337.01,25.01,0.09,0.6287,0.1659,0.9562,0.8341,0.0438,1.0,1.0,0.7282,0.3817,0.2718,0.6183,1.0,1.0,1.9078,0.4396,1,0.2702,0.2057,0.3464999999999998,0.1221000000000001,0.41,0.7382749027524742,306.0
Diag: ADHD-Inattentive Type,213.01,404.01,295.01,63.01,0.28,0.6328,0.4193,0.8651,0.5807,0.1349,1.0,1.0,0.7717,0.422,0.2283,0.578,1.0,1.0,1.8287,0.395,1,0.5434,0.3153,0.3496999999999999,0.2844,0.52,0.7380963488212976,919.0
Diag: Language Disorder,80.01,492.01,346.01,57.01,0.14,0.5867,0.1878,0.8962,0.8122,0.1038,1.0,1.0,0.5839,0.4129,0.4161,0.5871,1.0,1.0,1.4141,0.7087,1,0.2842,0.1198,0.17099999999999982,0.08400000000000007,0.44,0.6293355747957424,458.0
Diag: Specific Learning Disorder with Impairment in Reading,100.01,482.01,307.01,86.01,0.19,0.5969,0.2457,0.8486,0.7543,0.1514,1.0,1.0,0.5376,0.3891,0.4624,0.6109,1.0,1.0,1.3816,0.7569,1,0.3373,0.1183,0.14849999999999985,0.09430000000000005,0.42,0.5940042520135738,619.0
Diag: Specific Learning Disorder with Impairment in Mathematics,43.01,483.01,404.01,45.01,0.09,0.5395,0.0962,0.9148,0.9038,0.0852,1.0,1.0,0.4886,0.4555,0.5114,0.5445,1.0,1.0,1.0727,0.9392,1,0.1608,0.0191,0.03309999999999991,0.010999999999999899,0.46,0.515175002562263,294.0
