,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.004310051173240998,
                                    class_weight='balanced',
                                    l1_ratio=0.613389466316874,
                                    penalty='elasticnet', solver='saga'))])",0.849358537836656,0.03230200311892989,469,0.8170565347177261
1,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0035942881855355936,
                                    class_weight='balanced',
                                    l1_ratio=0.1593478251990661,
                                    penalty='elasticnet', solver='saga'))])",0.7110999582505944,0.012409966491766991,306,0.6986899917588274
2,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.005507742456388929,
                                    l1_ratio=0.4233569103872016,
                                    solver='saga'))])",0.8388765489900215,0.03101469563104311,276,0.8078618533589784
3,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0068316501464461095,
                                    l1_ratio=0.11526769730972408,
                                    penalty='elasticnet', solver='saga'))])",0.7185886337572387,0.005685920691002372,919,0.7129027130662363
4,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.00031541651633331264,
                                    class_weight='balanced',
                                    l1_ratio=0.49378177106654664,
                                    solver='saga'))])",0.6089299913900457,0.009796636996182826,458,0.5991333543938628
5,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.000414539294306916,
                                    l1_ratio=0.2760837787634478,
                                    solver='saga'))])",0.5934869154037298,0.024227311686033485,619,0.5692596037176962
6,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0019032049114593836,
                                    l1_ratio=0.1746201082881782,
                                    solver='saga'))])",0.8450348107507843,0.008575715461510428,931,0.8364590952892739
7,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0008638196990301615,
                                    class_weight='balanced',
                                    l1_ratio=0.830085323849848,
                                    solver='saga'))])",0.7964376486756711,0.01972152991326005,512,0.7767161187624111
8,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0005213063648009302,
                                    class_weight='balanced',
                                    l1_ratio=0.22959160925344368,
                                    solver='saga'))])",0.7959086370472059,0.013937867000307235,334,0.7819707700468987
9,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.3730366544045931,
                                    class_weight='balanced',
                                    l1_ratio=0.9255287151848138,
                                    penalty='elasticnet', solver='saga'))])",0.5260316585353983,0.030051697334700797,294,0.49597996120069754
10,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.005958040774372346,
                                    l1_ratio=0.4952036084730953,
                                    solver='saga'))])",0.7743052708370627,0.026708836179764658,278,0.7475964346572981
11,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.035384124607679646,
                                    l1_ratio=0.8903289949068631,
                                    penalty='elasticnet', solver='saga'))])",0.8460602452427636,0.010357786532115018,524,0.8357024587106485
