,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Enuresis,Diag: Language Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Inattentive Type,Diag: Specific Learning Disorder with Impairment in Mathematics
1,"[0.7894079124286189, 0.8571, 0.6309]","[0.6585750160027574, 0.6195, 0.6772]","[0.8164271435517856, 0.6867, 0.9361]","[0.6903341288782817, 0.7372, 0.5465]","[0.7176155918583463, 0.6369, 0.7983]","[0.7359730401426334, 0.759, 0.6525]","[0.7547600000000001, 0.7899, 0.6983]","[0.7934845301363657, 0.8208, 0.6681]","[0.7861710631494805, 0.9645, 0.4616]","[0.55329326628235, 0.2688, 0.8378]","[0.5985802699508616, 0.9239, 0.2733]","[0.6417636056164806, 0.4659, 0.6866]"
2,"[0.8304649065915815, 0.8311, 0.6931]","[0.7142338372150278, 0.8043, 0.5436]","[0.8848803284888432, 0.8553, 0.8756]","[0.7486978032507011, 0.6861, 0.6981]","[0.7985610390419385, 0.7707, 0.7359]","[0.7524582635474635, 0.759, 0.6771]","[0.7994742857142857, 0.68, 0.8171]","[0.8182754500885757, 0.7598, 0.75]","[0.8197909757300543, 0.6879, 0.7878]","[0.5831595731632528, 0.5269, 0.6274]","[0.6595446911737264, 0.6485, 0.608]","[0.6521023367838475, 0.6022, 0.6088]"
3,"[0.8466749450306088, 0.7208, 0.8051]","[0.7364961347185977, 0.7499, 0.5742]","[0.8736493057431518, 0.8553, 0.8834]","[0.7600865808407227, 0.7518, 0.6742]","[0.8484419042872939, 0.7834, 0.7787]","[0.7649116645956022, 0.6144, 0.8184]","[0.8026571428571428, 0.63, 0.8183]","[0.8307249824908335, 0.8423, 0.6839]","[0.8500901406534346, 0.8652, 0.699]","[0.6080072774847705, 0.5699, 0.5526]","[0.6504789450768178, 0.5833, 0.5923]","[0.6601286256021319, 0.5568, 0.6539]"
4,"[0.8460461584700318, 0.7727, 0.7418]","[0.7357698557289871, 0.7391, 0.6093]","[0.8742841320438706, 0.8192, 0.8845]","[0.7512847760570005, 0.7153, 0.6694]","[0.8544765078722376, 0.7898, 0.7873]","[0.7642228105246096, 0.7469, 0.6469]","[0.8178000000000001, 0.7699, 0.7394]","[0.8484504387591151, 0.8638, 0.6753]","[0.8535937207680664, 0.8368, 0.7254]","[0.6039051746460062, 0.5376, 0.5805]","[0.6821442640625324, 0.7029, 0.5923]","[0.6591421543507227, 0.5568, 0.6516]"
5,"[0.8425107170539571, 0.6883, 0.8149]","[0.7405275986016052, 0.7065, 0.641]","[0.8742841320438706, 0.8192, 0.8845]","[0.759267808302702, 0.7664, 0.6372]","[0.8535615841029074, 0.7834, 0.7958]","[0.7592184883029878, 0.7108, 0.6872]","[0.822262857142857, 0.7699, 0.7451]","[0.851849276974416, 0.8566, 0.7098]","[0.8579391805704373, 0.8581, 0.7074]","[0.6202522588822111, 0.5215, 0.6375]","[0.7134208289274533, 0.6956, 0.5966]","[0.6602951726965256, 0.5, 0.6674]"
6,"[0.847683376307006, 0.7208, 0.8027]","[0.7379425377911271, 0.7499, 0.581]","[0.8868793559889782, 0.8553, 0.8688]","[0.7646508022228803, 0.7737, 0.6515]","[0.8603904193854827, 0.7452, 0.8032]","[0.7519652601437139, 0.6867, 0.6962]","[0.8223885714285714, 0.8299, 0.6869]","[0.8527479091995221, 0.853, 0.7184]","[0.8611748898753337, 0.8439, 0.7338]","[0.6209711489976424, 0.6075, 0.5577]","[0.7329492442619892, 0.6993, 0.6566]","[0.6609101158142872, 0.5114, 0.6607]"
7,"[0.8504041634370502, 0.7402, 0.799]","[0.7308582401890786, 0.6739, 0.6897]","[0.8870279323572315, 0.8553, 0.8699]","[0.7630568088775846, 0.7883, 0.642]","[0.8603553797517637, 0.7388, 0.8044]","[0.7639324112593873, 0.6506, 0.7612]","[0.81624, 0.7899, 0.7246]","[0.8520295183949244, 0.8172, 0.7385]","[0.8584026395904554, 0.8368, 0.7314]","[0.6225656540877933, 0.586, 0.583]","[0.7604808110965976, 0.6522, 0.7468]","[0.6609101158142872, 0.5114, 0.6607]"
8,"[0.849241501494851, 0.7792, 0.7527]","[0.7334925402530897, 0.6304, 0.7395]","[0.8855084013182775, 0.8553, 0.8677]","[0.7585143633608, 0.7518, 0.6671]","[0.8623214925326647, 0.7643, 0.8044]","[0.7614268734129342, 0.6747, 0.7309]","[0.8174857142857141, 0.8099, 0.7063]","[0.8526037160631155, 0.8136, 0.7385]","[0.8630882528020138, 0.7517, 0.7998]","[0.6232027747114218, 0.5914, 0.5868]","[0.7640106985134042, 0.7138, 0.7024]","[0.6608716818694271, 0.5114, 0.6607]"
9,"[0.8508866285967382, 0.7662, 0.7588]","[0.7334925402530897, 0.6304, 0.7395]","[0.8890877410989246, 0.8433, 0.8699]","[0.755335087016358, 0.7153, 0.6981]","[0.8634271876411317, 0.7898, 0.7861]","[0.760656977686531, 0.6867, 0.7287]","[0.8284057142857143, 0.7599, 0.752]","[0.8498460223293371, 0.8602, 0.7055]","[0.8636495059271733, 0.8156, 0.7554]","[0.6253492238712403, 0.5269, 0.6337]","[0.7709279301693931, 0.7391, 0.6466]","[0.6609101158142872, 0.5114, 0.6607]"
10,"[0.8498030593036683, 0.7662, 0.7747]","[0.7334925402530897, 0.6304, 0.7395]","[0.892464476741045, 0.8433, 0.8699]","[0.7574604114767521, 0.7445, 0.6814]","[0.8695357637861492, 0.8344, 0.7751]","[0.765357393700362, 0.6506, 0.7668]","[0.8268742857142858, 0.7899, 0.7371]","[0.8528534791743915, 0.8566, 0.7198]","[0.8648655543650187, 0.8226, 0.7626]","[0.6297579623042644, 0.5376, 0.6388]","[0.7765285812029608, 0.7319, 0.6638]","[0.6609101158142872, 0.5114, 0.6607]"
