,Diag: Autism Spectrum Disorder,Diag: Enuresis,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Inattentive Type,Diag: No Diagnosis Given,Diag: Language Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Specific Learning Disorder with Impairment in Reading
50,"0.8089,0.8252","0.8553,0.8419","0.8297,0.7506","0.8638,0.6796","0.7792,0.7747","0.71,0.7703","0.663,0.7596","0.6385,0.8217","0.6131,0.7792","0.6195,0.7474","0.5114,0.6607","0.5968,0.5982"
49,"0.8089,0.8325","0.8553,0.8419","0.7943,0.7698","0.8638,0.6796","0.7727,0.7783","0.67,0.7943","0.663,0.7596","0.6385,0.8217","0.7372,0.6671","0.6195,0.7474","0.5114,0.6618","0.586,0.6096"
48,"0.8089,0.8276","0.8553,0.8419","0.7872,0.7698","0.8638,0.6796","0.7532,0.7941","0.71,0.7806","0.6304,0.7954","0.7228,0.7343","0.6277,0.7721","0.6195,0.7474","0.5114,0.6607","0.6236,0.5792"
47,"0.8089,0.8203","0.8192,0.8912","0.7872,0.771","0.8638,0.6796","0.7597,0.7868","0.73,0.7669","0.6304,0.7954","0.7228,0.7343","0.6277,0.7637","0.6195,0.7474","0.5114,0.6607","0.6236,0.5792"
46,"0.828,0.8068","0.8192,0.8912","0.7801,0.7686","0.8638,0.6796","0.7727,0.782","0.71,0.776","0.6304,0.7954","0.7228,0.7321","0.635,0.7673","0.6195,0.7474","0.5114,0.6607","0.4409,0.7021"
45,"0.828,0.8191","0.8192,0.8912","0.8439,0.7242","0.8638,0.6796","0.7532,0.799","0.68,0.7863","0.6304,0.794","0.7349,0.7321","0.6496,0.747","0.6195,0.7474","0.5114,0.6607","0.4409,0.7021"
44,"0.8216,0.8227","0.8192,0.8912","0.8439,0.7242","0.8602,0.6825","0.7532,0.7941","0.66,0.7897","0.6304,0.794","0.7349,0.7321","0.6642,0.7184","0.6195,0.7474","0.5114,0.6607","0.457,0.6882"
43,"0.8216,0.824","0.8192,0.8912","0.8297,0.7386","0.8602,0.6825","0.7597,0.7905","0.67,0.784","0.692,0.7353","0.7349,0.7321","0.6861,0.7064","0.6195,0.7474","0.5114,0.6607","0.5,0.6654"
42,"0.7961,0.835","0.8192,0.8912","0.7943,0.7686","0.8602,0.6825","0.7597,0.7893","0.67,0.792","0.692,0.7353","0.7349,0.7321","0.7226,0.6826","0.6195,0.7474","0.5114,0.6618","0.5,0.6654"
41,"0.8025,0.8288","0.8192,0.8912","0.8156,0.7578","0.8602,0.6825","0.7337,0.8063","0.72,0.7749","0.692,0.7353","0.7349,0.7321","0.7226,0.6921","0.6195,0.7474","0.5114,0.6607","0.5484,0.6299"
40,"0.8089,0.8288","0.8192,0.8912","0.8014,0.7686","0.8602,0.6853","0.7337,0.8051","0.74,0.7646","0.6594,0.7825","0.7349,0.7321","0.7445,0.6694","0.6195,0.7474","0.5114,0.6607","0.6021,0.5995"
39,"0.8152,0.824","0.8192,0.8912","0.7943,0.7674","0.8602,0.6853","0.7792,0.7552","0.64,0.8148","0.6884,0.7339","0.7349,0.7321","0.7372,0.6611","0.6195,0.7474","0.5114,0.6607","0.6021,0.5995"
38,"0.7643,0.868","0.8192,0.8912","0.8085,0.7662","0.8602,0.6853","0.7792,0.7527","0.64,0.8091","0.6884,0.7339","0.7349,0.7321","0.7591,0.6384","0.6195,0.7474","0.5114,0.6607","0.5806,0.602"
