,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0009640670653506229,
                                    class_weight='balanced',
                                    l1_ratio=0.4658778918203459,
                                    solver='saga'))])",0.8568829505399228,0.01437604625056293,512,0.8425069042893599
1,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0028853032772518782,
                                    class_weight='balanced',
                                    l1_ratio=0.21798798273811826,
                                    penalty='elasticnet', solver='saga'))])",0.7363125463561753,0.018419652839763594,306,0.7178928935164117
2,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.04348248697640584,
                                    l1_ratio=0.6612864486826238,
                                    penalty='elasticnet', solver='saga'))])",0.8739861134369806,0.013802779425976961,278,0.8601833340110037
3,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.001187411854095248,
                                    class_weight='balanced',
                                    l1_ratio=0.5663399638399775,
                                    solver='saga'))])",0.7538502103530744,0.0017606872056692923,458,0.7520895231474052
4,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0024379118008557555,
                                    l1_ratio=0.8828958377002175,
                                    solver='saga'))])",0.9172162287794569,0.0051071741068666925,524,0.9121090546725902
5,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.05623524060537295,
                                    l1_ratio=0.6468124900524383,
                                    penalty='elasticnet', solver='saga'))])",0.8551776288672904,0.0242289868220459,276,0.8309486420452445
6,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.00016854929833346626,
                                    class_weight='balanced',
                                    l1_ratio=0.04773028280775382,
                                    solver='saga'))])",0.8375350695393146,0.01680762575232806,334,0.8207274437869865
7,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.02848721264584843,
                                    l1_ratio=0.21443717592533074, penalty='l1',
                                    solver='saga'))])",0.8769429708792918,0.009234038122730213,931,0.8677089327565617
8,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.02797158909235089,
                                    class_weight='balanced',
                                    l1_ratio=0.11155606711137944, penalty='l1',
                                    solver='saga'))])",0.8788241533786119,0.027786823275631683,469,0.8510373301029802
9,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.01374024182877153,
                                    l1_ratio=0.18678525460555961,
                                    penalty='elasticnet', solver='saga'))])",0.6517319215913308,0.022240227432217693,619,0.6294916941591131
10,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.050702049291856635,
                                    l1_ratio=0.38508300794164574, penalty='l1',
                                    solver='saga'))])",0.7780446974127,0.01208551130723725,919,0.7659591861054628
11,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.00996531083142787,
                                    class_weight='balanced',
                                    l1_ratio=0.6088704053075301, penalty='l1',
                                    solver='saga'))])",0.7081028305392539,0.02185952156842512,294,0.6862433089708289
