,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
1,"[0.5036481453135364, 0.9928, 0.0144]","[0.6585750160027574, 0.6195, 0.6772]","[0.6769004268193851, 0.6385, 0.7152]","[0.6106368310837429, 0.6123, 0.5651]","[0.6903341288782817, 0.7372, 0.5465]","[0.5829858129931723, 0.199, 0.967]","[0.7560921600131835, 0.7132, 0.7141]","[0.7894079124286189, 0.8571, 0.6309]","[0.6242857142857142, 0.38, 0.8686]","[0.5, 0.0001, 1.0]","[0.8164271435517856, 0.6867, 0.9361]","[0.7176155918583463, 0.6369, 0.7983]"
2,"[0.7876932496555946, 0.9574, 0.4664]","[0.7073895809739523, 0.7282, 0.6138]","[0.6850518666594629, 0.6747, 0.6614]","[0.6325340548609815, 0.5833, 0.5923]","[0.7217436370921381, 0.5693, 0.7339]","[0.6318567125938644, 0.3334, 0.9239]","[0.8182703003337041, 0.7598, 0.7486]","[0.8118781340462218, 0.8571, 0.6748]","[0.7927142857142857, 0.8799, 0.6126]","[0.7004970790201906, 0.5682, 0.8061]","[0.8848803284888432, 0.8553, 0.8756]","[0.8156681668820955, 0.8407, 0.6907]"
3,"[0.8210155280031294, 0.6879, 0.7926]","[0.7102823871190113, 0.7499, 0.564]","[0.7423415635636718, 0.6747, 0.7175]","[0.650919533080384, 0.7681, 0.5236]","[0.746049858021358, 0.6204, 0.747]","[0.6611063412240893, 0.4624, 0.8314]","[0.8335624974251226, 0.8243, 0.7011]","[0.8457337425059714, 0.8311, 0.7223]","[0.7977885714285715, 0.8799, 0.632]","[0.7463231526083837, 0.625, 0.7407]","[0.8979145280674267, 0.8915, 0.8543]","[0.8484419042872939, 0.7834, 0.7787]"
4,"[0.8507619436365801, 0.8723, 0.6882]","[0.7154278891132009, 0.6521, 0.7101]","[0.7555783672807823, 0.7228, 0.6637]","[0.6849951276150194, 0.7282, 0.5751]","[0.7569116596693555, 0.635, 0.7434]","[0.6789286833748995, 0.5806, 0.7136]","[0.8499026696329255, 0.8566, 0.6954]","[0.8608443931221031, 0.7208, 0.8222]","[0.8308171428571428, 0.7999, 0.7337]","[0.7473480578046531, 0.6363, 0.7384]","[0.8979145280674267, 0.8915, 0.8543]","[0.8544765078722376, 0.7898, 0.7873]"
5,"[0.8492014898719322, 0.8156, 0.7434]","[0.7426141119700624, 0.6956, 0.6421]","[0.7579961100005402, 0.7228, 0.6715]","[0.6954603885467852, 0.8406, 0.4907]","[0.7518422382105463, 0.708, 0.6778]","[0.6942434277770964, 0.5806, 0.7237]","[0.8462823919581428, 0.8279, 0.6853]","[0.8600139203062468, 0.7013, 0.8246]","[0.8328628571428571, 0.7799, 0.7737]","[0.7473480578046531, 0.6363, 0.7384]","[0.8979145280674267, 0.8915, 0.8543]","[0.8525649011882329, 0.7898, 0.7934]"
6,"[0.8496139258805722, 0.7446, 0.7866]","[0.7424787040228471, 0.6956, 0.6353]","[0.7553757631422551, 0.6987, 0.7096]","[0.6999336526300513, 0.7826, 0.5222]","[0.7594986324756546, 0.6058, 0.7566]","[0.7017321504013518, 0.5323, 0.7769]","[0.8504433938944507, 0.8243, 0.7098]","[0.8633911764240632, 0.7727, 0.76]","[0.8404114285714286, 0.7999, 0.7531]","[0.7473480578046531, 0.6363, 0.7384]","[0.8939434869522934, 0.8915, 0.8464]","[0.8530476694750284, 0.7834, 0.7971]"
7,"[0.8548863037229791, 0.7943, 0.765]","[0.7323785021419075, 0.7065, 0.6591]","[0.7568952941812092, 0.6747, 0.7186]","[0.7075376832327757, 0.7029, 0.5894]","[0.7636839538003241, 0.6569, 0.7375]","[0.7052107608651212, 0.543, 0.7731]","[0.8569990318460842, 0.8423, 0.7011]","[0.8633279023047598, 0.7727, 0.7564]","[0.8425028571428572, 0.8299, 0.7394]","[0.7506021318028083, 0.6591, 0.7339]","[0.8936598411583553, 0.8915, 0.8464]","[0.8612002242536559, 0.8089, 0.7836]"
8,"[0.8572588737520621, 0.7659, 0.7842]","[0.7405029789748387, 0.6739, 0.6795]","[0.7541871521962289, 0.6747, 0.7208]","[0.7333846488772781, 0.7355, 0.5694]","[0.7655218368377958, 0.6642, 0.7124]","[0.7052107608651212, 0.543, 0.7731]","[0.8532371359123305, 0.8423, 0.7126]","[0.8637154562854927, 0.7662, 0.7783]","[0.8516799999999999, 0.8399, 0.7486]","[0.7462847186635235, 0.625, 0.7407]","[0.8936598411583553, 0.8915, 0.8464]","[0.8670284833289209, 0.8344, 0.7628]"
9,"[0.8580922496045715, 0.7872, 0.759]","[0.7378625240041361, 0.663, 0.7055]","[0.754639634772273, 0.6626, 0.7276]","[0.7667242022765441, 0.6993, 0.6838]","[0.7628085640123338, 0.6642, 0.7148]","[0.7052107608651212, 0.543, 0.7731]","[0.8567569933671156, 0.8459, 0.7083]","[0.8653922204470317, 0.7922, 0.7576]","[0.85148, 0.8499, 0.7303]","[0.746681869427078, 0.6363, 0.7384]","[0.896969042087633, 0.8553, 0.8756]","[0.8716264619313847, 0.7133, 0.868]"
10,"[0.854643944418933, 0.7659, 0.789]","[0.7376655669900044, 0.663, 0.7044]","[0.7555108325679399, 0.6747, 0.7343]","[0.7711689577242853, 0.6884, 0.7053]","[0.7787833388498859, 0.7299, 0.6802]","[0.7060523052182563, 0.7043, 0.5703]","[0.860276850821901, 0.853, 0.7299]","[0.8678678203647753, 0.7987, 0.7515]","[0.8465428571428573, 0.8499, 0.728]","[0.74623347340371, 0.625, 0.7407]","[0.8969082608460749, 0.8553, 0.8756]","[0.8754886082257487, 0.7961, 0.8093]"
11,"[0.8574161947038115, 0.7092, 0.8153]","[0.7393643212368899, 0.6956, 0.6987]","[0.758549894645848, 0.5662, 0.7937]","[0.7727317492898759, 0.6377, 0.7339]","[0.7767930247548038, 0.7299, 0.6921]","[0.7069211060686592, 0.672, 0.621]","[0.8622981296090306, 0.8064, 0.7715]","[0.8678678203647753, 0.7987, 0.7527]","[0.8464, 0.8299, 0.736]","[0.7472968125448396, 0.6363, 0.7373]","[0.8969082608460749, 0.8553, 0.8756]","[0.8804564496285798, 0.8025, 0.8056]"
12,"[0.8563957344762487, 0.773, 0.7746]","[0.7412231030577577, 0.6847, 0.6931]","[0.7664041817494192, 0.6867, 0.7265]","[0.7743515581265162, 0.634, 0.7411]","[0.7755953521592948, 0.7299, 0.6885]","[0.7117795767065975, 0.6559, 0.6641]","[0.859094982078853, 0.8853, 0.6896]","[0.8687062024455448, 0.7857, 0.7674]","[0.8457028571428571, 0.8399, 0.7257]","[0.7496028492364456, 0.6818, 0.69]","[0.8975971149170674, 0.8915, 0.8386]","[0.8760803887063366, 0.7388, 0.8411]"
13,"[0.8580965015221865, 0.7801, 0.7878]","[0.7412231030577577, 0.6847, 0.6931]","[0.7668296504403264, 0.5422, 0.815]","[0.779384628143725, 0.6993, 0.6896]","[0.7898628991516122, 0.7591, 0.6945]","[0.7117659484579637, 0.6559, 0.6641]","[0.8592391752152597, 0.8745, 0.704]","[0.8700903238053055, 0.7792, 0.7747]","[0.8568399999999999, 0.8599, 0.7051]","[0.7462847186635235, 0.625, 0.7407]","[0.8969082608460749, 0.8553, 0.8756]","[0.8777077850279539, 0.7452, 0.8521]"
14,"[0.8589809003860741, 0.7872, 0.7818]","[0.7514279383524545, 0.7173, 0.6886]","[0.7690312820789885, 0.6867, 0.7399]","[0.78067529182476, 0.7138, 0.6838]","[0.7902679302475479, 0.7372, 0.7064]","[0.7102395846109816, 0.629, 0.6781]","[0.8579955094137519, 0.8602, 0.7227]","[0.8703276017526932, 0.7792, 0.7747]","[0.8587771428571429, 0.8599, 0.672]","[0.74623347340371, 0.625, 0.7407]","[0.9003322707871847, 0.8553, 0.8744]","[0.8774780807624623, 0.7452, 0.8545]"
15,"[0.8616893719067299, 0.8368, 0.7494]","[0.7525912157171697, 0.5978, 0.7826]","[0.7707331568426171, 0.6867, 0.7455]","[0.7793172440961208, 0.7572, 0.628]","[0.7896930474017037, 0.6934, 0.7458]","[0.7091493247202802, 0.6505, 0.6629]","[0.8583688666419478, 0.8136, 0.76]","[0.8717829064966702, 0.7857, 0.7747]","[0.8538685714285714, 0.8399, 0.7257]","[0.74623347340371, 0.625, 0.7407]","[0.896969042087633, 0.8553, 0.8756]","[0.8764035319950789, 0.7516, 0.8496]"
16,"[0.8617488987533377, 0.8085, 0.7542]","[0.7516618248067359, 0.6087, 0.778]","[0.7761089199848723, 0.6747, 0.7522]","[0.7733330223300366, 0.5942, 0.8026]","[0.7935473755727054, 0.6788, 0.7578]","[0.7083657004238385, 0.629, 0.6869]","[0.8558866847938038, 0.8028, 0.7644]","[0.8731433000616924, 0.8052, 0.7698]","[0.8526799999999999, 0.8799, 0.6571]","[0.7462590960336168, 0.625, 0.7407]","[0.8972121670538656, 0.8553, 0.8756]","[0.8764813978477879, 0.7452, 0.8533]"
17,"[0.8621358232562885, 0.8581, 0.735]","[0.7521419075286819, 0.7282, 0.658]","[0.7805662110324706, 0.6024, 0.7971]","[0.7781380232630465, 0.6703, 0.7153]","[0.7981377279933104, 0.6277, 0.7804]","[0.7083657004238385, 0.629, 0.6869]","[0.8554669797717629, 0.8566, 0.7098]","[0.873080025942389, 0.8052, 0.7661]","[0.8531428571428572, 0.8799, 0.6606]","[0.7496412831813057, 0.6363, 0.7452]","[0.8970298233291912, 0.8553, 0.8756]","[0.8834698581284164, 0.7452, 0.8618]"
18,"[0.8618169294351753, 0.8297, 0.7614]","[0.7505970259490866, 0.6195, 0.7599]","[0.7766221838024745, 0.5783, 0.8038]","[0.777969563144036, 0.6848, 0.7167]","[0.796047244917513, 0.8321, 0.5931]","[0.7084304346048489, 0.5914, 0.7351]","[0.8559716557491863, 0.8602, 0.704]","[0.8741556859705459, 0.8052, 0.7625]","[0.8519028571428573, 0.8699, 0.6686]","[0.7466562467971712, 0.6363, 0.7384]","[0.8969082608460749, 0.8553, 0.8756]","[0.880596608163456, 0.7834, 0.8154]"
