,Diag: Autism Spectrum Disorder,Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type,Diag: ADHD-Inattentive Type,Diag: No Diagnosis Given,Diag: Language Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Specific Learning Disorder with Impairment in Reading
50,"0.828,0.8081","0.8553,0.8756","0.7532,0.8027","0.73,0.824","0.8014,0.765","0.8781,0.6839","0.7609,0.6981","0.6385,0.8128","0.7737,0.6623","0.7608,0.6297","0.6363,0.7384","0.6129,0.6831"
49,"0.8662,0.7873","0.8553,0.8756","0.7532,0.8027","0.7599,0.8046","0.8085,0.7518","0.8064,0.7629","0.7536,0.701","0.6144,0.8262","0.7007,0.7589","0.7608,0.6308","0.625,0.7407","0.6129,0.6831"
48,"0.8471,0.7958","0.8553,0.8744","0.7597,0.8002","0.7,0.8171","0.8085,0.7518","0.8745,0.6896","0.7536,0.701","0.5783,0.833","0.7007,0.7601","0.8151,0.5515","0.625,0.7407","0.6129,0.6857"
47,"0.8471,0.7971","0.8553,0.8756","0.7597,0.8002","0.7599,0.7966","0.8085,0.7494","0.8674,0.6911","0.7572,0.6896","0.5783,0.8318","0.7007,0.7589","0.8151,0.5527","0.625,0.7407","0.6129,0.6857"
46,"0.8407,0.8056","0.8553,0.8744","0.7597,0.8002","0.74,0.8057","0.8085,0.7494","0.8709,0.6968","0.75,0.7081","0.5783,0.8341","0.7518,0.7267","0.8151,0.5549","0.625,0.7407","0.6129,0.6857"
45,"0.8344,0.8105","0.8553,0.8756","0.7597,0.8002","0.75,0.8057","0.8085,0.7554","0.8064,0.7644","0.75,0.701","0.6265,0.8105","0.7591,0.7208","0.663,0.7373","0.6363,0.7384","0.6075,0.6857"
44,"0.8344,0.8117","0.8553,0.8756","0.7597,0.8002","0.7599,0.8","0.8085,0.7554","0.7634,0.7744","0.7391,0.711","0.6024,0.8341","0.7664,0.6611","0.663,0.7373","0.6363,0.7384","0.6075,0.6857"
43,"0.8344,0.8032","0.8553,0.8587","0.7597,0.8002","0.7899,0.7886","0.8226,0.7422","0.7849,0.7701","0.7391,0.711","0.6024,0.8341","0.7737,0.6348","0.663,0.7316","0.6818,0.6877","0.6021,0.6895"
42,"0.8152,0.8007","0.8192,0.88","0.7597,0.8002","0.8099,0.776","0.8297,0.7434","0.8459,0.7371","0.7319,0.7053","0.6024,0.833","0.781,0.6611","0.6521,0.7463","0.6477,0.7441","0.6021,0.6895"
41,"0.8344,0.7971","0.8192,0.8812","0.7597,0.8002","0.7599,0.7714","0.8368,0.741","0.8459,0.7342","0.7246,0.7253","0.5662,0.8374","0.7737,0.6599","0.6521,0.7463","0.625,0.7407","0.6021,0.6895"
40,"0.8344,0.7885","0.8915,0.8543","0.7597,0.8002","0.74,0.7783","0.8297,0.747","0.8423,0.7414","0.7464,0.6953","0.5783,0.8397","0.7737,0.6718","0.6521,0.7463","0.6363,0.7384","0.6021,0.6895"
39,"0.777,0.8729","0.8553,0.8756","0.7597,0.8002","0.73,0.7874","0.8297,0.7374","0.8602,0.7112","0.7427,0.6967","0.5783,0.8397","0.7737,0.6718","0.6521,0.7463","0.6363,0.7384","0.6236,0.6768"
38,"0.7961,0.8545","0.8192,0.8823","0.7597,0.8002","0.68,0.824","0.8226,0.753","0.8387,0.7356","0.7427,0.6981","0.5783,0.8386","0.7737,0.6683","0.6195,0.752","0.625,0.7407","0.6236,0.6768"
37,"0.8216,0.813","0.8192,0.8812","0.7597,0.8002","0.68,0.8069","0.8226,0.7542","0.8351,0.7428","0.7536,0.6981","0.5783,0.8341","0.7737,0.6754","0.6087,0.752","0.6363,0.7384","0.6236,0.6768"
36,"0.8025,0.8264","0.8553,0.8756","0.7597,0.8002","0.7,0.8091","0.8226,0.753","0.8279,0.7629","0.7536,0.6996","0.6024,0.8128","0.7737,0.6671","0.6087,0.752","0.6818,0.6945","0.6236,0.6768"
35,"0.8025,0.824","0.8553,0.8756","0.7597,0.8002","0.69,0.8183","0.8297,0.7482","0.7634,0.7888","0.7246,0.7139","0.6024,0.8094","0.7737,0.6671","0.6087,0.7576","0.6818,0.6843","0.6236,0.6768"
34,"0.7898,0.8325","0.8553,0.8756","0.7597,0.8002","0.69,0.8069","0.8226,0.7494","0.7706,0.7873","0.7464,0.7039","0.6506,0.787","0.7883,0.6325","0.6195,0.7531","0.625,0.7407","0.6129,0.692"
33,"0.7834,0.857","0.8192,0.8823","0.7597,0.8002","0.71,0.8011","0.8226,0.7494","0.81,0.7802","0.7464,0.691","0.6506,0.7814","0.7664,0.6647","0.6195,0.752","0.625,0.7407","0.6129,0.692"
32,"0.8089,0.8264","0.8553,0.8756","0.7597,0.8002","0.71,0.8011","0.8226,0.7578","0.8243,0.7644","0.75,0.6867","0.6385,0.7825","0.7591,0.6539","0.6195,0.752","0.625,0.7407","0.6129,0.692"
31,"0.8152,0.8203","0.8553,0.8756","0.7532,0.8039","0.8299,0.7371","0.8156,0.7614","0.8709,0.7256","0.7645,0.681","0.5783,0.815","0.7445,0.6897","0.6195,0.7554","0.6363,0.7384","0.6129,0.6907"
30,"0.8025,0.8252","0.8553,0.8756","0.7532,0.8039","0.8399,0.7086","0.773,0.7746","0.8709,0.7169","0.7753,0.6652","0.6506,0.7713","0.7299,0.7112","0.6195,0.7554","0.6363,0.7384","0.6183,0.6857"
29,"0.777,0.8508","0.8553,0.8756","0.7987,0.7661","0.74,0.7589","0.773,0.7842","0.8602,0.7256","0.7681,0.6695","0.5542,0.8296","0.7299,0.7124","0.6195,0.7554","0.6363,0.7384","0.6183,0.6869"
28,"0.828,0.7983","0.8553,0.8744","0.7597,0.8039","0.74,0.7611","0.8014,0.7614","0.8566,0.7284","0.7753,0.6667","0.6385,0.7713","0.7518,0.6897","0.5978,0.7576","0.6363,0.7384","0.6075,0.6907"
27,"0.8025,0.8301","0.8553,0.8756","0.7597,0.8039","0.7899,0.7497","0.8014,0.7614","0.8423,0.7428","0.721,0.711","0.6385,0.7646","0.7153,0.7136","0.5978,0.7576","0.625,0.7407","0.6183,0.6882"
26,"0.7898,0.8252","0.8192,0.8823","0.7597,0.8039","0.7699,0.7554","0.8014,0.7626","0.8351,0.7543","0.7464,0.6495","0.5903,0.8027","0.7299,0.6981","0.5978,0.7576","0.6818,0.6809","0.6236,0.673"
25,"0.777,0.8362","0.8915,0.8464","0.7597,0.8039","0.7999,0.7326","0.8085,0.7518","0.8208,0.7572","0.75,0.6381","0.6626,0.7455","0.7299,0.7088","0.6521,0.7146","0.625,0.7407","0.6236,0.673"
24,"0.7643,0.8398","0.8553,0.8756","0.7597,0.8039","0.8599,0.6949","0.8085,0.7506","0.8351,0.7385","0.7645,0.6137","0.6024,0.7904","0.7007,0.7637","0.7608,0.6353","0.6363,0.7384","0.6236,0.673"
23,"0.7961,0.8325","0.8915,0.8509","0.7597,0.8039","0.7999,0.7314","0.8085,0.7662","0.8638,0.7098","0.7717,0.5966","0.6024,0.7915","0.6715,0.7673","0.5869,0.7961","0.625,0.7407","0.6236,0.6616"
22,"0.7516,0.8496","0.8553,0.8744","0.8052,0.7576","0.8299,0.712","0.8085,0.759","0.8351,0.7385","0.692,0.7139","0.6024,0.7892","0.7226,0.6993","0.663,0.7248","0.625,0.7407","0.6183,0.6616"
21,"0.7961,0.835","0.8553,0.8744","0.8052,0.7576","0.8499,0.6834","0.8368,0.735","0.8279,0.7442","0.692,0.7139","0.5903,0.8027","0.7737,0.6683","0.663,0.718","0.625,0.7407","0.6183,0.6705"
20,"0.7197,0.8667","0.8553,0.8756","0.8052,0.7576","0.8499,0.6754","0.773,0.7794","0.853,0.7184","0.6956,0.7081","0.5903,0.8038","0.7737,0.6647","0.663,0.718","0.625,0.7407","0.5968,0.725"
19,"0.7388,0.8716","0.8553,0.8756","0.7597,0.7978","0.8699,0.6663","0.8085,0.7698","0.8494,0.704","0.7174,0.681","0.5783,0.8049","0.8321,0.6014","0.6195,0.7599","0.6363,0.7384","0.5914,0.7351"
18,"0.7834,0.8154","0.8553,0.8756","0.8052,0.7625","0.8699,0.6686","0.8297,0.7614","0.8602,0.704","0.6848,0.7167","0.5783,0.8038","0.8321,0.5931","0.6195,0.7599","0.6363,0.7384","0.5914,0.7351"
17,"0.7452,0.8618","0.8553,0.8756","0.8052,0.7661","0.8799,0.6606","0.8581,0.735","0.8566,0.7098","0.6703,0.7153","0.6024,0.7971","0.6277,0.7804","0.7282,0.658","0.6363,0.7452","0.629,0.6869"
16,"0.7452,0.8533","0.8553,0.8756","0.8052,0.7698","0.8799,0.6571","0.8085,0.7542","0.8028,0.7644","0.5942,0.8026","0.6747,0.7522","0.6788,0.7578","0.6087,0.778","0.625,0.7407","0.629,0.6869"
15,"0.7516,0.8496","0.8553,0.8756","0.7857,0.7747","0.8399,0.7257","0.8368,0.7494","0.8136,0.76","0.7572,0.628","0.6867,0.7455","0.6934,0.7458","0.5978,0.7826","0.625,0.7407","0.6505,0.6629"
14,"0.7452,0.8545","0.8553,0.8744","0.7792,0.7747","0.8599,0.672","0.7872,0.7818","0.8602,0.7227","0.7138,0.6838","0.6867,0.7399","0.7372,0.7064","0.7173,0.6886","0.625,0.7407","0.629,0.6781"
13,"0.7452,0.8521","0.8553,0.8756","0.7792,0.7747","0.8599,0.7051","0.7801,0.7878","0.8745,0.704","0.6993,0.6896","0.5422,0.815","0.7591,0.6945","0.6847,0.6931","0.625,0.7407","0.6559,0.6641"
12,"0.7388,0.8411","0.8915,0.8386","0.7857,0.7674","0.8399,0.7257","0.773,0.7746","0.8853,0.6896","0.634,0.7411","0.6867,0.7265","0.7299,0.6885","0.6847,0.6931","0.6818,0.69","0.6559,0.6641"
