Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Autism Spectrum Disorder,126.01,696.01,122.01,31.01,0.16,0.8431,0.5081,0.9573,0.4919,0.0427,1.0,1.0,0.8025,0.1492,0.1975,0.8508,1.0,1.0,5.3787,0.2321,1,0.6222,0.5514,0.6533,0.46540000000000004,0.25,0.9000124585364334,524.0
Diag: Enuresis,71.01,781.01,111.01,12.01,0.09,0.8738,0.3901,0.9849,0.6099,0.0151,1.0,1.0,0.8553,0.1244,0.1447,0.8756,1.0,1.0,6.8754,0.1653,1,0.5358,0.5235,0.7309000000000001,0.375,0.19,0.896969042087633,278.0
Diag: Generalized Anxiety Disorder,123.01,626.01,195.01,31.01,0.16,0.7682,0.3868,0.9528,0.6132,0.0472,1.0,1.0,0.7987,0.2375,0.2013,0.7625,1.0,1.0,3.3629,0.264,1,0.5212,0.4365,0.5611999999999999,0.3395999999999999,0.33,0.8742505971495009,512.0
Diag: Oppositional Defiant Disorder,120.01,610.01,224.01,21.01,0.14,0.7487,0.3488,0.9667,0.6512,0.0333,1.0,1.0,0.851,0.2686,0.149,0.7314,1.0,1.0,3.1683,0.2037,1,0.4948,0.4287,0.5824,0.3155000000000001,0.35,0.8656308995356906,469.0
Diag: ADHD-Combined Type,222.01,524.01,172.01,57.01,0.29,0.7651,0.5634,0.9019,0.4366,0.0981,1.0,1.0,0.7957,0.2471,0.2043,0.7529,1.0,1.0,3.2202,0.2714,1,0.6597,0.5052,0.5486,0.46530000000000005,0.4,0.8521402381246653,931.0
Diag: Social Anxiety (Social Phobia),63.01,748.01,127.01,37.01,0.1,0.8318,0.3316,0.9529,0.6684,0.0471,1.0,1.0,0.63,0.1452,0.37,0.8548,1.0,1.0,4.3388,0.4328,1,0.4345,0.3714,0.4847999999999999,0.2845,0.19,0.8517028571428571,334.0
Diag: ADHD-Inattentive Type,218.01,448.01,251.01,58.01,0.28,0.6831,0.4648,0.8854,0.5352,0.1146,1.0,1.0,0.7898,0.3591,0.2102,0.6409,1.0,1.0,2.1994,0.328,1,0.5852,0.3884,0.43069999999999986,0.35020000000000007,0.48,0.7976405216561961,919.0
Diag: No Diagnosis Given,50.01,706.01,186.01,33.01,0.09,0.7754,0.2119,0.9553,0.7881,0.0447,1.0,1.0,0.6024,0.2085,0.3976,0.7915,1.0,1.0,2.8892,0.5023,1,0.3135,0.2566,0.3938999999999999,0.16720000000000002,0.24,0.7954238478577988,276.0
Diag: Language Disorder,108.01,555.01,283.01,29.01,0.14,0.68,0.2762,0.9503,0.7238,0.0497,1.0,1.0,0.7883,0.3377,0.2117,0.6623,1.0,1.0,2.3343,0.3196,1,0.4091,0.3195,0.4506000000000001,0.22650000000000015,0.4,0.7930421754960543,458.0
Diag: Specific Phobia,60.01,678.01,205.01,32.01,0.09,0.7569,0.2264,0.9549,0.7736,0.0451,1.0,1.0,0.6521,0.2322,0.3479,0.7678,1.0,1.0,2.8084,0.4531,1,0.3361,0.276,0.41990000000000016,0.18130000000000002,0.27,0.7570781426953568,306.0
Diag: Specific Learning Disorder with Impairment in Mathematics,56.01,655.01,232.01,32.01,0.09,0.7292,0.1945,0.9534,0.8055,0.0466,1.0,1.0,0.6363,0.2616,0.3637,0.7384,1.0,1.0,2.4323,0.4926,1,0.2979,0.2354,0.3746999999999998,0.14789999999999992,0.3,0.7467587373167983,294.0
Diag: Specific Learning Disorder with Impairment in Reading,112.01,554.01,235.01,74.01,0.19,0.6831,0.3228,0.8822,0.6772,0.1178,1.0,1.0,0.6021,0.2979,0.3979,0.7021,1.0,1.0,2.0211,0.5667,1,0.4203,0.2497,0.3041999999999998,0.20500000000000007,0.36,0.7085803453398203,619.0
