,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0011696491306890978,
                                    l1_ratio=0.8142691832249278,
                                    solver='saga'))])",0.8823523043516479,0.02737768508328772,469,0.8549746192683602
1,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0640870159910284,
                                    l1_ratio=0.9174381965130833, penalty='l1',
                                    solver='saga'))])",0.7358162211509525,0.007017549011844957,306,0.7287986721391075
2,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.001666954576203604,
                                    class_weight='balanced',
                                    l1_ratio=0.10002022871625948,
                                    solver='saga'))])",0.8527647807817117,0.0239625078244962,276,0.8288022729572155
3,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.008764722293900152,
                                    class_weight='balanced',
                                    l1_ratio=0.2778703090339042,
                                    penalty='elasticnet', solver='saga'))])",0.7828415022741778,0.01084284557581313,919,0.7719986566983646
4,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.05598781978962996,
                                    l1_ratio=0.8333167093249012,
                                    penalty='elasticnet', solver='saga'))])",0.7914279750999679,0.007858936580835064,458,0.7835690385191328
5,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0009661524172008923,
                                    class_weight='balanced',
                                    l1_ratio=0.06559231034642288,
                                    penalty='elasticnet', solver='saga'))])",0.7395107284501652,0.002038757110603303,619,0.7374719713395619
6,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0014200009760252901,
                                    l1_ratio=0.5460069995300356,
                                    solver='saga'))])",0.8789944951158827,0.005478413597961687,931,0.873516081517921
7,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.03277191284556389,
                                    l1_ratio=0.6837378106633978, penalty='l1',
                                    solver='saga'))])",0.8806459482405115,0.01118696108270709,512,0.8694589871578043
8,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0033189147318211016,
                                    l1_ratio=0.2112403174334858,
                                    solver='saga'))])",0.8574555211986988,0.018725293931931283,334,0.8387302272667676
9,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.006347411233553994,
                                    class_weight='balanced',
                                    l1_ratio=0.9721720065086222, penalty='l1',
                                    solver='saga'))])",0.7960379709402535,0.04469135816759362,294,0.7513466127726599
10,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.01025036242142903,
                                    class_weight='balanced',
                                    l1_ratio=0.973510547201176, penalty='l1',
                                    solver='saga'))])",0.8712817208481948,0.01399233809598313,278,0.8572893827522117
11,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0017750705159968187,
                                    l1_ratio=0.09476779700563975,
                                    solver='saga'))])",0.9179821468464398,0.004315420081606696,524,0.9136667267648331
