,Amount missing,Persentage missing
"ESWAN,Panic_A01",1416,100.0
"ESWAN,Panic_A03",1416,100.0
"ESWAN,Panic_A02",1416,100.0
"NIH_Scores,NIH7_Comp",1411,99.64689265536724
"NIH_Scores,NIH7_Picture",1411,99.64689265536724
"SRS,SRS_46",997,70.40960451977402
"CBCL,CBCL_113C",829,58.545197740113
"CBCL,CBCL_113B",745,52.612994350282484
"CBCL,CBCL_113A",605,42.72598870056497
"SDQ,SDQ_27",149,10.522598870056497
"SDQ,SDQ_28",145,10.240112994350282
"SDQ,SDQ_29_d",143,10.098870056497175
"SDQ,SDQ_29_c",138,9.745762711864407
"SDQ,SDQ_29_b",138,9.745762711864407
"SDQ,SDQ_29_a",135,9.533898305084746
"SDQ,SDQ_30",131,9.251412429378531
"APQ_SR,APQ_SR_20A",93,6.567796610169492
"APQ_SR,APQ_SR_15A",91,6.426553672316385
"APQ_SR,APQ_SR_09A",90,6.3559322033898304
"APQ_SR,APQ_SR_11A",88,6.214689265536723
"APQ_SR,APQ_SR_07A",88,6.214689265536723
"APQ_SR,APQ_SR_14A",88,6.214689265536723
"APQ_SR,APQ_SR_04A",87,6.1440677966101696
"APQ_SR,APQ_SR_26A",87,6.1440677966101696
"APQ_SR,APQ_SR_01A",80,5.649717514124294
"CBCL,CBCL_56H",73,5.155367231638418
"WHODAS_P,WHODAS_P_Days03",67,4.731638418079096
"WHODAS_P,WHODAS_P_Days01",63,4.4491525423728815
"WHODAS_SR,WHODAS_SR_Days01",60,4.23728813559322
"WHODAS_P,WHODAS_P_Days02",59,4.166666666666666
"WHODAS_SR,WHODAS_SR_Days03",55,3.8841807909604524
"WHODAS_SR,WHODAS_SR_Days02",52,3.672316384180791
"CCSC,CCSC_51",37,2.6129943502824857
"CCSC,CCSC_44",34,2.401129943502825
"CCSC,CCSC_56",33,2.330508474576271
"CCSC,CCSC_34",31,2.189265536723164
"CBCL,CBCL_41",28,1.977401129943503
"SCQ,SCQ_02",26,1.8361581920903955
"SCQ,SCQ_06",25,1.765536723163842
"SCQ,SCQ_07",25,1.765536723163842
"SCQ,SCQ_04",25,1.765536723163842
"SCQ,SCQ_03",25,1.765536723163842
"NIH_Scores,NIH7_List",24,1.694915254237288
"SCQ,SCQ_05",24,1.694915254237288
"NIH_Scores,NIH7_Pattern",21,1.4830508474576272
"ESWAN,Panic_B13",20,1.4124293785310735
"WISC,WISC_FSIQ",19,1.3418079096045197
"Barratt,financialsupport",19,1.3418079096045197
"ESWAN,Panic_B12",18,1.2711864406779663
"ESWAN,Panic_B11",17,1.2005649717514124
"ESWAN,Panic_A03B",16,1.1299435028248588
"ESWAN,DMDD_10C",16,1.1299435028248588
"ESWAN,Panic_B02",16,1.1299435028248588
"ESWAN,Panic_A03A",15,1.059322033898305
"ESWAN,Panic_B05",15,1.059322033898305
"ESWAN,Panic_B08",15,1.059322033898305
"ESWAN,Panic_B09",15,1.059322033898305
"ESWAN,DMDD_10B",14,0.9887005649717515
"ESWAN,Panic_A02B",14,0.9887005649717515
"ESWAN,Panic_B06",14,0.9887005649717515
"ESWAN,Panic_A01B",14,0.9887005649717515
"ESWAN,Panic_B10",14,0.9887005649717515
"SDQ,SDQ_24",12,0.847457627118644
"ESWAN,Panic_A02A",12,0.847457627118644
"SympChck,CSC_26P",12,0.847457627118644
"ESWAN,Panic_B04",12,0.847457627118644
"ESWAN,Panic_B03",12,0.847457627118644
"ESWAN,Panic_B01",12,0.847457627118644
"ESWAN,Panic_A01A",12,0.847457627118644
"ESWAN,Panic_B07",12,0.847457627118644
"ESWAN,DMDD_4C",11,0.7768361581920904
"NIH_Scores,NIH7_Card",11,0.7768361581920904
"SympChck,CSC_32C",11,0.7768361581920904
"SympChck,CSC_25P",11,0.7768361581920904
"SympChck,CSC_33P",10,0.7062146892655368
"CBCL,CBCL_30",10,0.7062146892655368
"ESWAN,DMDD_8C",10,0.7062146892655368
"SympChck,CSC_31P",10,0.7062146892655368
"NIH_Scores,NIH7_Flanker",10,0.7062146892655368
"SympChck,CSC_39P",10,0.7062146892655368
"SympChck,CSC_45P",10,0.7062146892655368
"SympChck,CSC_37P",10,0.7062146892655368
"SympChck,CSC_22P",10,0.7062146892655368
"ESWAN,DMDD_7C",9,0.6355932203389831
"SympChck,CSC_54P",9,0.6355932203389831
"SympChck,CSC_06P",9,0.6355932203389831
"SympChck,CSC_55bP",9,0.6355932203389831
"SympChck,CSC_15P",9,0.6355932203389831
"SympChck,CSC_55dC",9,0.6355932203389831
"CCSC,CCSC_42",9,0.6355932203389831
"SympChck,CSC_12P",9,0.6355932203389831
"SympChck,CSC_11P",9,0.6355932203389831
"SDQ,SDQ_12",9,0.6355932203389831
"SympChck,CSC_30P",9,0.6355932203389831
"CCSC,CCSC_28",9,0.6355932203389831
"SympChck,CSC_32P",8,0.5649717514124294
"ESWAN,DMDD_2C",8,0.5649717514124294
"SympChck,CSC_38P",8,0.5649717514124294
"SWAN,SWAN_17",8,0.5649717514124294
"RBS,RBS_27",8,0.5649717514124294
"SympChck,CSC_50P",8,0.5649717514124294
"SympChck,CSC_21P",8,0.5649717514124294
"ESWAN,DMDD_8B",8,0.5649717514124294
"SympChck,CSC_47P",8,0.5649717514124294
"SympChck,CSC_10P",8,0.5649717514124294
"CCSC,CCSC_40",7,0.49435028248587576
