,New Diag: Specific Learning Disorder with Impairment in Reading,New Diag: Specific Learning Disorder with Impairment in Mathematics,New Diag: Borderline Intellectual Functioning
1,"[0.773542926942764, 0.8214, 0.6417]","[0.6687185557857356, 0.688, 0.5452]","[0.7710971991025548, 0.6707, 0.7389]"
2,"[0.7727431363424848, 0.8214, 0.6449]","[0.7001331754957087, 0.8073, 0.4903]","[0.8110298907143374, 0.6585, 0.7626]"
3,"[0.7797958352722197, 0.7321, 0.7003]","[0.7409292690145013, 0.7247, 0.6064]","[0.8396902366649779, 0.8048, 0.7211]"
4,"[0.8086319218241043, 0.75, 0.7329]","[0.749363717076058, 0.8165, 0.4774]","[0.8489722805239922, 0.8414, 0.6973]"
5,"[0.8381660074453234, 0.7589, 0.772]","[0.7494968925717669, 0.7156, 0.6097]","[0.8566439892885576, 0.8414, 0.6706]"
6,"[0.8368572591903211, 0.7321, 0.7622]","[0.7495708789582718, 0.8073, 0.4871]","[0.8613845263081711, 0.8292, 0.727]"
7,"[0.8369299674267101, 0.7321, 0.7622]","[0.7732613199171353, 0.7522, 0.5742]","[0.8572953607874357, 0.6097, 0.8694]"
8,"[0.8393729641693811, 0.7053, 0.8078]","[0.7771530038472921, 0.7614, 0.5677]","[0.8555945574292538, 0.7438, 0.7745]"
9,"[0.840565379246161, 0.7678, 0.7557]","[0.7748742231429416, 0.7706, 0.5774]","[0.8546898747919229, 0.7682, 0.7507]"
10,"[0.8414960446719405, 0.7321, 0.798]","[0.7749334122521456, 0.7706, 0.5774]","[0.8589418831873779, 0.7926, 0.7478]"
11,"[0.8435900418799442, 0.7232, 0.8176]","[0.7793725954424385, 0.7431, 0.6355]","[0.8626691756531809, 0.7926, 0.7389]"
12,"[0.8456840390879479, 0.7321, 0.8111]","[0.7769754365196805, 0.7522, 0.6419]","[0.8635376709850184, 0.8292, 0.7359]"
13,"[0.8455677059097255, 0.741, 0.8111]","[0.7776265167209233, 0.7706, 0.629]","[0.8654917854816531, 0.817, 0.7478]"
14,"[0.8455677059097255, 0.741, 0.8111]","[0.7729505770938148, 0.7706, 0.6064]","[0.8656727220091193, 0.817, 0.7478]"
15,"[0.8455677059097254, 0.7321, 0.8111]","[0.7738088191772715, 0.7706, 0.6129]","[0.865636534703626, 0.817, 0.7478]"
16,"[0.8478943694741741, 0.75, 0.7948]","[0.7750221959159513, 0.7431, 0.6645]","[0.8669030903958892, 0.7804, 0.7626]"
17,"[0.848708701721731, 0.7589, 0.798]","[0.7746078721515242, 0.6789, 0.729]","[0.8670116523123689, 0.7804, 0.7596]"
18,"[0.848708701721731, 0.7589, 0.798]","[0.7821544835750222, 0.7064, 0.6935]","[0.8670116523123689, 0.7804, 0.7596]"
19,"[0.8489413680781759, 0.75, 0.8013]","[0.7817993489197989, 0.7064, 0.6968]","[0.8669030903958892, 0.7804, 0.7596]"
20,"[0.8511226151698464, 0.7232, 0.8111]","[0.777300976620302, 0.7064, 0.6581]","[0.8669392777013823, 0.7804, 0.7596]"
21,"[0.8512680316426244, 0.7678, 0.8013]","[0.7754661142349807, 0.6972, 0.7]","[0.8669030903958892, 0.7804, 0.7596]"
22,"[0.8512680316426244, 0.7678, 0.8013]","[0.776531518200651, 0.6972, 0.7032]","[0.8669030903958892, 0.7804, 0.7596]"
23,"[0.848417868776175, 0.7142, 0.8436]","[0.7782480023675644, 0.7339, 0.6387]","[0.8669030903958892, 0.7804, 0.7596]"
24,"[0.8444334574220568, 0.7321, 0.8501]","[0.7794613791062445, 0.7247, 0.6742]","[0.8631396106245929, 0.7804, 0.7596]"
25,"[0.8444334574220568, 0.7321, 0.8501]","[0.7878662326131991, 0.7706, 0.6516]","[0.8631396106245929, 0.7804, 0.7596]"
26,"[0.8470509539320614, 0.7232, 0.8306]","[0.7906185261911808, 0.8165, 0.6]","[0.8631396106245929, 0.7804, 0.7596]"
27,"[0.8470218706375059, 0.7232, 0.8306]","[0.7902929860905594, 0.7981, 0.6097]","[0.8631396106245929, 0.7804, 0.7596]"
28,"[0.8476326198231735, 0.7589, 0.8273]","[0.7909440662918024, 0.7431, 0.7032]","[0.8632119852355793, 0.7804, 0.7596]"
29,"[0.8464402047463937, 0.7678, 0.8273]","[0.7913879846108316, 0.7247, 0.7129]","[0.8632119852355793, 0.7804, 0.7596]"
30,"[0.8464402047463937, 0.7678, 0.8273]","[0.7919502811482688, 0.7156, 0.7161]","[0.8625244264312079, 0.7804, 0.7656]"
31,"[0.846411121451838, 0.7678, 0.8273]","[0.793104468777745, 0.7431, 0.6677]","[0.8625244264312079, 0.7804, 0.7656]"
32,"[0.8463820381572825, 0.7678, 0.8273]","[0.7920982539212785, 0.688, 0.7613]","[0.8624882391257147, 0.7804, 0.7656]"
33,"[0.846352954862727, 0.7678, 0.8273]","[0.7928381177863274, 0.7339, 0.7226]","[0.8625244264312079, 0.7804, 0.7656]"
