,New Diag: Borderline Intellectual Functioning,New Diag: Specific Learning Disorder with Impairment in Reading,New Diag: Specific Learning Disorder with Impairment in Mathematics
50,"0.7804,0.7656","0.8303,0.7101","0.8348,0.5806"
49,"0.7804,0.7656","0.8303,0.7101","0.8348,0.5806"
48,"0.7804,0.7656","0.8303,0.7101","0.7339,0.6839"
47,"0.7804,0.7656","0.8303,0.7101","0.844,0.5806"
46,"0.7804,0.7656","0.8303,0.7101","0.8165,0.6129"
45,"0.7804,0.7656","0.7678,0.8241","0.7889,0.6355"
44,"0.7804,0.7656","0.7678,0.8241","0.7981,0.6355"
43,"0.7804,0.7656","0.741,0.8273","0.7981,0.6355"
42,"0.7804,0.7656","0.741,0.8273","0.7431,0.6839"
41,"0.7804,0.7656","0.741,0.8273","0.688,0.7451"
40,"0.7804,0.7656","0.741,0.8273","0.8348,0.6032"
39,"0.7804,0.7656","0.741,0.8273","0.8348,0.6032"
38,"0.7804,0.7656","0.741,0.8273","0.8348,0.6064"
37,"0.7804,0.7656","0.7678,0.8273","0.6697,0.7516"
36,"0.7804,0.7656","0.7678,0.8273","0.6697,0.7387"
35,"0.7804,0.7656","0.7678,0.8273","0.6789,0.7451"
34,"0.7804,0.7656","0.7678,0.8273","0.7339,0.7097"
33,"0.7804,0.7656","0.7678,0.8273","0.7339,0.7226"
32,"0.7804,0.7656","0.7678,0.8273","0.688,0.7613"
31,"0.7804,0.7656","0.7678,0.8273","0.7431,0.6677"
30,"0.7804,0.7656","0.7678,0.8273","0.7156,0.7161"
29,"0.7804,0.7596","0.7678,0.8273","0.7247,0.7129"
28,"0.7804,0.7596","0.7589,0.8273","0.7431,0.7032"
27,"0.7804,0.7596","0.7232,0.8306","0.7981,0.6097"
26,"0.7804,0.7596","0.7232,0.8306","0.8165,0.6"
25,"0.7804,0.7596","0.7321,0.8501","0.7706,0.6516"
24,"0.7804,0.7596","0.7321,0.8501","0.7247,0.6742"
23,"0.7804,0.7596","0.7142,0.8436","0.7339,0.6387"
22,"0.7804,0.7596","0.7678,0.8013","0.6972,0.7032"
21,"0.7804,0.7596","0.7678,0.8013","0.6972,0.7"
20,"0.7804,0.7596","0.7232,0.8111","0.7064,0.6581"
19,"0.7804,0.7596","0.75,0.8013","0.7064,0.6968"
18,"0.7804,0.7596","0.7589,0.798","0.7064,0.6935"
17,"0.7804,0.7596","0.7589,0.798","0.6789,0.729"
16,"0.7804,0.7626","0.75,0.7948","0.7431,0.6645"
15,"0.817,0.7478","0.7321,0.8111","0.7706,0.6129"
14,"0.817,0.7478","0.741,0.8111","0.7706,0.6064"
13,"0.817,0.7478","0.741,0.8111","0.7706,0.629"
12,"0.8292,0.7359","0.7321,0.8111","0.7522,0.6419"
11,"0.7926,0.7389","0.7232,0.8176","0.7431,0.6355"
10,"0.7926,0.7478","0.7321,0.798","0.7706,0.5774"
9,"0.7682,0.7507","0.7678,0.7557","0.7706,0.5774"
8,"0.7438,0.7745","0.7053,0.8078","0.7614,0.5677"
7,"0.6097,0.8694","0.7321,0.7622","0.7522,0.5742"
6,"0.8292,0.727","0.7321,0.7622","0.8073,0.4871"
5,"0.8414,0.6706","0.7589,0.772","0.7156,0.6097"
4,"0.8414,0.6973","0.75,0.7329","0.8165,0.4774"
3,"0.8048,0.7211","0.7321,0.7003","0.7247,0.6064"
2,"0.6585,0.7626","0.8214,0.6449","0.8073,0.4903"
1,"0.6707,0.7389","0.8214,0.6417","0.688,0.5452"
